NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
ROT20191218,Rottnest Island,-32,115.41667,2019-12-18T09:15:00Z,2019,12,18,09:15:00,43911025.5045244,8621606.29729237,0,10528857.3003928,9061082.26876609,0,5172852.77441077,0,0
PHB20191216,Port Hacking,-34.11923,151.22667,2019-12-17T09:02:00Z,2019,12,17,09:02:00,120172100.68,31261109.3727143,0,22169916.3909048,16040393.3862434,159572.825396825,889523.80952381,0,0
MAI20191210,Maria Island,-42.59667,148.23333,2019-12-11T09:30:00Z,2019,12,11,09:30:00,666009226.025,88629926.2152778,0,128121239.677083,44244059.1666667,0,35366666.6666667,0,0
YON20191202,Yongala,-19.30847,147.61842,2019-12-03T09:45:00Z,2019,12,3,09:45:00,3930042696.275,12713622.03125,2290219.11,26550425.3193,29961460.1851852,0,4980000,0,0
KAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27T14:25:00Z,2019,11,27,14:25:00,305317865.427229,5735037.99479167,0,17320135.44825,7853975,0,2076008.805625,0,204530.598958333
ROT20191126,Rottnest Island,-32,115.41667,2019-11-26T09:30:00Z,2019,11,26,09:30:00,151060646.43585,10532690.2489549,3023391.56435644,6104586.31105611,7776212.87128713,0,15566618.640264,0,1350036.95682068
MAI20191121,Maria Island,-42.59667,148.23333,2019-11-22T09:23:00Z,2019,11,22,09:23:00,100094610388.69,13782385.3745508,0,120472814.069969,58163871.4622642,0,8872416.89128482,0,0
PHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19T09:15:00Z,2019,11,19,09:15:00,1039517387.55919,7008836.72442887,0,632775012.554309,25282785.5659398,0,760124.6105919,0,0
YON20191107,Yongala,-19.30847,147.61842,2019-11-07T10:10:00Z,2019,11,7,10:10:00,56744748.4819531,511326.497395833,1758635.90208333,7451524.23104167,3272489.58333333,0,12051863.7559896,0,0
DAR20191105,Darwin,-12.4,130.76805,2019-11-06T07:38:00Z,2019,11,6,07:38:00,550377752.584722,8087724.25595238,1090580.52857143,13560515.3243915,0,0,14430397.8835979,0,0
ROT20191104,Rottnest Island,-32,115.41667,2019-11-04T09:25:00Z,2019,11,4,09:25:00,738463519.845625,6148143.98983333,13168759.8825,7912879.8125,10602866.25,0,10241141.185625,0,0
PHB20191028,Port Hacking,-34.11923,151.22667,2019-10-29T09:30:00Z,2019,10,29,09:30:00,61760026156.3055,8195976.71642289,0,54137402.9907166,15080597.1582181,0,9897816.06892406,0,1639195.34328458
NSI20191024,North Stradbroke,-27.345,153.562,2019-10-24T10:20:00Z,2019,10,24,10:20:00,2143386697.8953,0,0,2078802.31596361,9239970.58823529,0,19395397.2063689,0,0
MAI20191015,Maria Island,-42.59667,148.23333,2019-10-16T09:40:00Z,2019,10,16,09:40:00,660075458.662784,26588977.8645833,0,3286794289.8,32070397.9166667,0,2536517.61125,0,818122.395833333
ROT20191011,Rottnest Island,-32,115.41667,2019-10-11T10:07:00Z,2019,10,11,10:07:00,289900860.941368,2787477.46628507,0,4874648.64191419,3823304.66171617,0,1951704.20792079,12960.3547854786,0
YON20191009,Yongala,-19.30847,147.61842,2019-10-09T10:00:00Z,2019,10,9,10:00:00,303750698.130682,12395793.8762626,0,17522297.5580808,15811523.7443883,0,5841972.55934343,0,413193.129208754
MAI20190925,Maria Island,-42.59667,148.23333,2019-09-25T10:03:00Z,2019,9,25,10:03:00,1925024741.74178,23838065.1466589,0,37344347.7958153,45238744.8893699,0,218357506.065462,0,0
PHB20190923,Port Hacking,-34.11923,151.22667,2019-09-24T09:36:00Z,2019,9,24,09:36:00,23538237.4851744,17129059.8043702,0,24120714.0120155,72451397.2868217,0,1394391.25116279,0,475652.555717054
YON20190917,Yongala,-19.30847,147.61842,2019-09-17T10:10:00Z,2019,9,17,10:10:00,183878546.522837,22190280.769929,629181.074175824,20806071.618315,29056830.5860806,0,1562055.5989011,0,0
NSI20190916,North Stradbroke,-27.345,153.562,2019-09-16T10:20:00Z,2019,9,16,10:20:00,767932517.617813,15261922.75975,0,20451750.9,50287256.5972222,0,10543625.625,0,0
KAI20190909,Kangaroo Island,-35.83217,136.44733,2019-09-10T07:50:00Z,2019,9,10,07:50:00,7603629.546875,11346415.1532083,0,32395499.7478345,20242685.5654762,0,4854407.43458333,0,818122.395833333
MAI20190828,Maria Island,-42.59667,148.23333,2019-08-29T09:20:00Z,2019,8,29,09:20:00,2508442017.19612,12608050.6207192,0,21607355.9887149,13417207.2916667,0,11852739.7260274,0,3362146.83219178
PHB20190827,Port Hacking,-34.11923,151.22667,2019-08-28T09:59:00Z,2019,8,28,09:59:00,6243367.2235023,14813824.4106087,0,18686066.3268049,59132026.8305172,0,466301.843317972,0,0
YON20190826,Yongala,-19.30847,147.61842,2019-08-26T10:40:00Z,2019,8,26,10:40:00,64254130.3288281,2200880.144375,0,2462849.4805,1439895.41666667,0,77729.8945234375,65449.7916666667,0
NSI20190821,North Stradbroke,-27.345,153.562,2019-08-21T10:40:00Z,2019,8,21,10:40:00,377415547.511622,0,0,7607321.23966942,4631519.34831267,0,8109504.1322314,0,0
ROT20190819,Rottnest Island,-32,115.41667,2019-08-19T08:31:00Z,2019,8,19,08:31:00,26344431.263,4787174.4769375,0,11715407.9886667,20878483.5416667,0,8685441.19,0,204530.598958333
YON20190808,Yongala,-19.30847,147.61842,2019-08-08T10:04:00Z,2019,8,8,10:04:00,670555108.517957,0,5783381.59090909,6054912.28215488,6941644.57070707,282073.17620651,4527822.23068182,0,0
MAI20190731,Maria Island,-42.59667,148.23333,2019-07-31T10:20:00Z,2019,7,31,10:20:00,341600421.961834,17900240.1541474,0,16742089.8573415,32210647.4702381,0,6690854.45078579,0,609356.767341973
PHB20190729,Port Hacking,-34.11923,151.22667,2019-07-29T10:03:00Z,2019,7,29,10:03:00,945697982.044584,2512660.92086405,0,7558060.65937011,23367198.3471074,0,20761670.7616708,0,0
DAR20190723_0630,Darwin,-12.4,130.76805,2019-07-23T16:00:00Z,2019,7,23,16:00:00,336351947.008333,17385100.9114583,0,4555305.5,0,418878.666666667,174037430.505,0,4090611.97916667
NSI20190723,North Stradbroke,-27.345,153.562,2019-07-23T10:20:00Z,2019,7,23,10:20:00,246045762.869525,0,0,6470141.8923437,23386648.2259278,0,6711015.42627884,0,0
ROT20190711,Rottnest Island,-32,115.41667,2019-07-11T09:26:00Z,2019,7,11,09:26:00,529782524.718937,7480995.09748932,0,7460846.6308547,28400304.0762656,0,18723809.146218,0,1153762.35309829
YON20190703,Yongala,-19.30847,147.61842,2019-07-03T10:50:00Z,2019,7,3,10:50:00,1226496575.4681,11934360.4492187,31013383.78125,1650152.87239583,4431496.31076389,436331.944444444,146942708.333333,0,0
PHB20190626,Port Hacking,-34.11923,151.22667,2019-06-27T09:38:00Z,2019,6,27,09:38:00,15053055.4179293,5971635.68612163,722922.698863636,5774832.50701058,20211046.7772968,0,263888.888888889,13222.1801346801,219494.801325758
MAI20190624,Maria Island,-42.59667,148.23333,2019-06-24T10:10:00Z,2019,6,24,10:10:00,12641331.1149994,13176085.3620134,0,17513358.3482474,59427616.7003707,0,413296.258847321,0,546092.149498652
ROT20190621,Rottnest Island,-32,115.41667,2019-06-21T09:15:00Z,2019,6,21,09:15:00,409124476.848907,8143168.03656491,0,6079270.4180418,9007446.57590759,0,6076069.72326733,0,1350036.95682068
NSI20190618,North Stradbroke,-27.345,153.562,2019-06-18T10:00:00Z,2019,6,18,10:00:00,268672731.866062,2089178.74319033,0,0,4780040.96441948,0,11910112.3595506,0,0
DAR20190529,Darwin,-12.4,130.76805,2019-05-30T08:39:00Z,2019,5,30,08:39:00,805660215.9732,11292411.0500838,0,7277964.21038526,0,0,95800999.3337451,0,1918544.98185371
YON20190528,Yongala,-19.30847,147.61842,2019-05-28T10:25:00Z,2019,5,28,10:25:00,2080111957.40351,74547026.2277638,15383795.0318182,4561652.14646465,6247480.11363636,0,207217333.754209,0,688655.215347924
NSI20190527,North Stradbroke,-27.345,153.562,2019-05-27T10:15:00Z,2019,5,27,10:15:00,2232991135.08799,0,0,4762516.75531915,1810313.38652482,0,5050531.91489362,0,0
ROT20190527,Rottnest Island,-32,115.41667,2019-05-27T09:28:00Z,2019,5,27,09:28:00,130933133.773652,11101282.6139851,2267543.67326733,5204532.87238724,7549406.66254125,0,6129604.93745875,17280.4730473047,1485040.65250275
PHB20190522,Port Hacking,-34.11923,151.22667,2019-05-23T08:50:00Z,2019,5,23,08:50:00,292884741.568125,6918042.97916667,17176643.325,15628939.0115,15217076.5625,0,6784048.125,0,0
KAI20190514,Kangaroo Island,-35.83217,136.44733,2019-05-14T15:35:00Z,2019,5,14,15:35:00,172335540.943423,13398148.164215,0,9582160.54851485,20347757.0132013,0,17970150.1310702,0,3041195.38887317
YON20190507,Yongala,-19.30847,147.61842,2019-05-07T11:30:00Z,2019,5,7,11:30:00,2547670839.44886,52062334.280303,2602521.71590909,25075980.9806061,7395826.45833333,0,321494088.969697,0,2479158.77525253
ROT20190507,Rottnest Island,-32,115.41667,2019-05-07T09:40:00Z,2019,5,7,09:40:00,359232729.238614,4437301.46967822,0,3784423.59735974,14904408.0033003,0,58170222.7722772,0,607516.630569307
MAI20190430,Maria Island,-42.59667,148.23333,2019-05-01T09:47:00Z,2019,5,1,09:47:00,746985523.325924,11713984.4219609,0,1369745371.82736,34524202.8207331,0,6767556.05670103,0,316284.431378866
NSI20190416,North Stradbroke,-27.345,153.562,2019-04-16T10:10:00Z,2019,4,16,10:10:00,354699483.858749,0,0,1465870.60280222,1215587.52851092,0,1889051.80840665,0,0
PHB20190408,Port Hacking,-34.11923,151.22667,2019-04-09T08:50:00Z,2019,4,9,08:50:00,89972605.6456181,2162992.70417645,1881635.41901408,7197019.99256295,26969224.9523403,0,193661.971830986,0,96023.7553794992
NSI20190322,North Stradbroke,-27.345,153.562,2019-03-22T10:50:00Z,2019,3,22,10:50:00,321490365.430576,0,742200.6375,58196883.0575049,9710441.25875388,0,6596208.91201673,0,1993475.62337557
MAI20190320,Maria Island,-42.59667,148.23333,2019-03-21T09:35:00Z,2019,3,21,09:35:00,11026304.1618629,19697286.3694984,0,33128676.5674757,9282591.4477144,0,827959.344660194,0,0
KAI20190320,Kangaroo Island,-35.83217,136.44733,2019-03-20T13:40:00Z,2019,3,20,13:40:00,18433992.8626772,8071625.92059708,0,51116962.0317869,42058800.8304696,0,2430222.87628866,0,105428.143792955
YON20190313,Yongala,-19.30847,147.61842,2019-03-13T10:10:00Z,2019,3,13,10:10:00,191147196.261444,0,8975784.42916667,3309763.65842369,13290314.8384354,0,94571428.5714286,0,0
