NRScode,Station,Latitude,Longitude,SampleDateLocal,StationDepth_m,SampleDepth_m,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,Secchi_m,Silicate_umol_L,Phosphate_umol_L,Ammonium_umol_L,Nitrate_umol_L,Nitrite_umol_L,Oxygen_umol_L,TCO2_umol_kg,TAlkalinity_umol_kg,Salinity,Prochlorococcus_cells_ml,Synecochoccus_cells_ml,Picoeukaryotes_cells_ml,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,TSS_mg_L,InorganicFraction_mg_L,OrganicFraction_mg_L,CTDDensity_kgm3,CTDTemperature,CTDPAR_umolm2s,CTDConductivity_sm,CTDSalinity,CTDChlF_mgm3,CTDTurbidity_ntu
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,0,2009,10,8,06:00:00,2009-10-07T19:30:00Z,,,,,,,,,,,35.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.3,,,,,,,
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,60,2009,10,8,06:00:00,2009-10-07T19:30:00Z,,,,,,,,,,,35.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.8453,15.2974,0.8116,4.419555,35.8698,0.0906,0.9968
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,90,2009,10,8,06:00:00,2009-10-07T19:30:00Z,,,,,,,,,2113.08,2358.24,35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.1178,15.1743,0.1215,4.42553,36.0253,0.0499,1.0506
PHB20100510,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00,100,40,2010,5,11,09:13:00,2010-05-10T23:13:00Z,,,2.5,0.5,0.02,6,,,2071.89,2320.23,35.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.1873,19.9035,,4.833448,35.4084,2.0597,0.1831
NSI20100520,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00,60,57,2010,5,21,08:21:00,2010-05-20T22:21:00Z,,,0.6,0,0.16,0.1,,,1986.06,2310.94,35.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHB20110717,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,100,100,2011,7,18,09:38:00,2011-07-17T23:38:00Z,,,3.6,0.77,0.61,12.1,,,2112.76,2318.61,35.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAI20110725,Maria Island,-42.59667,148.23333,2011-07-25 12:15:00,86,40,2011,7,25,12:15:00,2011-07-25T02:15:00Z,,,0.6,0.32,0,3.7,,265.8,,,35.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.8809,12.4961,,4.077216,35.2676,0.5008,0.3174
PHB20110829,Port Hacking,-34.11923,151.22667,2011-08-29 10:03:00,100,25,2011,8,29,10:03:00,2011-08-29T00:03:00Z,,,1.3,0.33,0.11,3.5,,,,,35.529,,,,0.033,0,0.066,0.016,,0,0,0.011,0,0.01,0.172,0.002,0,0.004,0.002,0.033,0,0,0.018,0,0,0.006,0,0,0.004,0,0,0,0,0.018,0.018,0,0.493,0.493,0,0,0,0,,,0.014,0,,,,1025.8204,17.8224,,4.635149,35.5326,2.13,0.0755
PHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,100,0,2011,9,15,09:43:00,2011-09-14T23:43:00Z,,,0.1,0.08,0,0,,,2037.47,2337.93,35.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,100,60,2011,9,15,09:43:00,2011-09-14T23:43:00Z,,,0.3,0.15,0.15,0.8,,,2076.98,2330.42,35.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.2046,16.9822,,4.553258,35.5468,1.9653,0.0564
