FID,id,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Amphipod,Appendicularian_Fritillariidae,Appendicularian_Oikopleuridae,Appendicularian_Other,Ascidian,Brachiopod,Bryozoan,Cephalochordate_Branchiostomatidae,Cephalopod,Chaetognath,Ciliophora_Tintinnid,Cirripedia,Cladoceran,Cnidarian_Medusae,Cnidarian_Other,Cnidarian_Siphonophore,Coelenterate,Copepod_Bivalvia,Copepod_Calanoid,Copepod_Cyclopoid,Copepod_Harpacticoid,Copepod_Other,Copepod_Poecilostomatoida,Copepod_Siphonostomatoida,Ctenophore,Cumacean,Decapod,Echinoderm,Egg,Euphausiid,Fish,Fish_Egg,Forams,Hemichordata,Isopod,Mollusc_Bivalvia,Mollusc_Gastropod,Mysida,Nematode,Nemertean,Noctilucaceae,Ostracod,Phoronid,Platyhelminthes,Polychaete,Polychaete_Trochophore,Radiozoa,Sipunculid,Thaliacean_Doliolidae,Thaliacean_Other,Thaliacean_Salpidae,Thecostraca,Urochordata,geom
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b00,710,Port Hacking 4,-34.1176,151.2182,2004-04-21T00:00:00Z,2004,4,21,00:00:00,10.609,63.6537,169.7433,0,0,0,0,0,0,169.7433,0,0,244.006,0,0,0,0,0,3119.0332,604.7105,190.9612,10.609,678.9732,0,0,0,31.8269,42.4358,116.6985,0,0,0,0,0,0,21.2179,233.397,0,0,0,180.3522,21.2179,0,0,31.8269,10.609,0,0,0,0,10.609,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2aff,711,Port Hacking 4,-34.1176,151.2182,2004-05-24T00:00:00Z,2004,5,24,00:00:00,5.3045,90.1761,339.4865,0,0,0,0,0,0,37.1313,0,5.3045,185.6568,10.609,0,5.3045,0,0,1745.1731,541.0567,42.4358,0,334.1821,0,0,0,21.2179,0,58.3493,0,5.3045,0,0,0,0,53.0448,127.3074,0,0,0,84.8716,5.3045,0,0,21.2179,5.3045,0,0,0,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2afe,712,Port Hacking 4,-34.1176,151.2182,2004-06-25T00:00:00Z,2004,6,25,00:00:00,0,127.3074,63.6537,0,0,0,0,0,0,53.0448,0,74.2627,381.9224,0,0,0,0,0,3638.8716,742.6268,541.0567,21.2179,668.3642,0,0,0,21.218,10.609,95.4806,0,0,0,0,0,10.609,31.8269,74.2627,0,0,0,222.788,10.609,0,0,148.5254,0,0,0,21.2179,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2afd,713,Port Hacking 4,-34.1176,151.2182,2004-07-25T00:00:00Z,2004,7,25,00:00:00,0,0,31.8269,0,0,0,0,0,0,31.8269,0,10.609,95.4806,31.8269,0,0,0,0,1814.1313,1124.5491,307.6598,10.609,307.6598,0,0,0,31.8269,95.4806,42.4358,0,0,10.609,0,0,0,1612.561,53.0448,0,0,0,0,31.8269,0,0,116.6985,0,0,0,0,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2afc,714,Port Hacking 4,-34.1176,151.2182,2004-08-23T00:00:00Z,2004,8,23,00:00:00,0,0,44.5576,0,0,0,0,0,0,12.7307,0,19.0961,76.3844,12.7307,0,0,0,0,2208.7842,693.8255,95.4806,12.7307,235.5188,0,0,0,12.7307,12.7307,120.9421,0,12.7307,0,0,0,0,12.7307,171.865,0,0,0,6.3654,0,0,0,19.0961,0,0,0,0,0,210.0573,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2afb,715,Port Hacking 4,-34.1176,151.2182,2004-09-14T00:00:00Z,2004,9,14,00:00:00,0,20.2535,81.0138,0,0,0,0,0,0,5.7867,0,8.6801,20.2535,34.7202,0,2.8934,0,0,778.3119,329.8422,52.0804,2.8934,83.9075,0,0,0,5.7868,11.5734,81.0139,0,2.8934,5.7867,0,0,0,23.1468,266.1883,0,0,0,254.6149,5.7867,2.8934,0,17.3601,0,0,0,0,0,992.4194,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2afa,716,Port Hacking 4,-34.1176,151.2182,2004-10-27T00:00:00Z,2004,10,27,00:00:00,0,79.5672,429.6626,0,0,0,0,0,0,15.9134,0,0,159.1344,127.3074,0,0,0,0,3898.7905,2753.0237,47.7402,0,190.9612,0,0,0,15.9134,0,31.8269,0,0,0,0,0,0,31.8269,47.7403,0,0,0,38176.3203,0,0,0,0,0,0,0,0,0,15.9134,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2af9,717,Port Hacking 4,-34.1176,151.2182,2004-11-16T00:00:00Z,2004,11,16,00:00:00,0,63.6537,1098.0267,0,0,0,0,0,0,0,0,0,2848.5042,63.6537,0,15.9134,0,0,4296.626,2355.1877,79.5672,0,143.2209,0,0,0,0,15.9134,47.7403,0,0,0,0,0,0,95.4806,63.6538,0,0,0,110518.7812,0,0,0,0,0,0,0,0,0,31.8269,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2af8,718,Port Hacking 4,-34.1176,151.2182,2004-12-22T00:00:00Z,2004,12,22,00:00:00,0,0,946.8491,0,7.9567,0,0,0,0,0,0,7.9567,3031.5085,366.0089,0,0,0,0,1209.4207,159.1344,95.4805,23.8701,206.8746,0,0,0,0,0,7.9567,0,0,7.9567,0,0,0,15.9134,39.7835,0,0,0,930.9357,0,0,0,0,0,0,0,31.8269,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2af7,719,Port Hacking 4,-34.1176,151.2182,2005-01-31T00:00:00Z,2005,1,31,00:00:00,0,15.9134,254.6149,0,0,0,0,0,0,15.9134,0,47.7403,6476.7661,15.9134,0,0,0,0,2402.9277,1304.9012,222.7879,0,509.2297,0,0,0,0,15.9134,0,0,31.8268,15.9134,0,0,0,31.8269,111.394,0,0,0,5171.8652,0,0,0,47.7403,0,0,0,286.4418,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2af6,720,Port Hacking 4,-34.1176,151.2182,2005-02-25T00:00:00Z,2005,2,25,00:00:00,0,15.9134,334.182,0,0,0,0,0,0,47.7403,0,0,63.6537,0,0,0,0,0,4853.5962,1893.6982,334.182,0,1336.7281,0,0,0,15.9134,0,79.5672,0,0,0,0,0,0,175.0477,3357.7339,0,0,0,175.0477,0,0,0,79.5672,0,0,0,15.9134,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2af5,721,Port Hacking 4,-34.1176,151.2182,2005-04-14T00:00:00Z,2005,4,14,00:00:00,0,286.4418,413.7492,0,0,0,0,0,0,31.8269,0,0,254.6149,0,0,0,0,0,3564.6084,1352.6415,572.8835,0,684.2777,0,0,0,47.7403,15.9134,31.8269,0,0,0,0,0,0,461.4895,286.4418,0,0,0,0,0,0,0,15.9134,0,0,0,95.4806,0,15.9134,0,0,POINT (151.21815 -34.11758)
