Sample,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
11518,Maria Island,-42.59667,148.23333,2019-01-07T08:50:00Z,2019,1,7,08:50:00,1865.28,6134.71,0,5450.76,61658.03,0,1119.17,0,41.45
11607,Port Hacking,-34.11923,151.22667,2018-12-19T09:40:00Z,2018,12,19,09:40:00,224166.67,5000,0,11676.66,258888.89,0,25833.34,0,0
11566,Yongala,-19.30847,147.61842,2018-12-13T10:30:00Z,2018,12,13,10:30:00,1564.08,4615.37,0,9435.9,120000,0,512.82,0,0
11503,Rottnest Island,-32,115.41667,2018-12-11T09:24:00Z,2018,12,11,09:24:00,178.57,0,0,3086.73,52040.81,0,178.57,0,0
11362,Maria Island,-42.59667,148.23333,2018-12-05T09:10:00Z,2018,12,5,09:10:00,17771.01,57121.09,0,48031.22,228822.88,0,2792.59,0,0
11540,Kangaroo Island,-35.83217,136.44733,2018-12-04T15:39:00Z,2018,12,4,15:39:00,0,507.61,0,380.71,22335.02,0,0,0,25.38
11489,Rottnest Island,-32,115.41667,2018-11-30T09:33:00Z,2018,11,30,09:33:00,705.91,509.81,1960.78,843.16,67156.87,0,117.65,0,0
11553,Yongala,-19.30847,147.61842,2018-11-23T10:05:00Z,2018,11,23,10:05:00,909.09,227.28,3989.9,17499.99,174242.43,0,934.35,0,0
11435,Port Hacking,-34.11923,151.22667,2018-11-21T09:24:00Z,2018,11,21,09:24:00,14527.32,298.5,0,2159.19,79601.98,0,19999.98,0,3781.09
11651,North Stradbroke,-27.345,153.562,2018-11-15T10:40:00Z,2018,11,15,10:40:00,65191.15,1609.66,0,2816.9,81690.14,0,25486.26,0,0
11347,Darwin,-12.4,130.76805,2018-10-31T08:26:00Z,2018,10,31,08:26:00,845.79,106.39,1063.83,79.79,0,0,3670.22,0,53.19
11321,Rottnest Island,-32,115.41667,2018-10-24T09:18:00Z,2018,10,24,09:18:00,127.55,76.53,0,3137.75,155102.04,0,178.57,0,0
11422,North Stradbroke,-27.345,153.562,2018-10-23T10:30:00Z,2018,10,23,10:30:00,2638.04,123.26,0,1602.54,26134.12,0,1849.11,0,0
11266,Maria Island,-42.59667,148.23333,2018-10-19T08:45:00Z,2018,10,19,08:45:00,396761.91,1809.53,0,10650.8,248412.69,0,8285.72,0,0
11236,Yongala,-19.30847,147.61842,2018-10-11T10:54:00Z,2018,10,11,10:54:00,8299.98,133.33,2566.67,2645.6,107368.42,0,4599.99,0,0
11223,Yongala,-19.30847,147.61842,2018-09-27T10:52:00Z,2018,9,27,10:52:00,2912.36,206.17,0,5190.72,24742.27,0,335.06,0,0
11475,Port Hacking,-34.11923,151.22667,2018-09-27T10:43:00Z,2018,9,27,10:43:00,425,625,0,5795,99500,0,2550,0,0
11307,Rottnest Island,-32,115.41667,2018-09-21T09:27:00Z,2018,9,21,09:27:00,1822.66,566.5,0,4729.06,249334.99,0,1748.77,0,197.04
11251,Maria Island,-42.59667,148.23333,2018-09-20T09:50:00Z,2018,9,20,09:50:00,43892.76,2979.15,0,4021.85,260675.27,0,53823.25,0,0
11407,North Stradbroke,-27.345,153.562,2018-09-13T10:20:00Z,2018,9,13,10:20:00,1315.8,26.32,657.89,57947.37,37894.74,0,868.41,0,0
11462,Port Hacking,-34.11923,151.22667,2018-09-05T10:50:00Z,2018,9,5,10:50:00,904512.82,410.26,0,3487.18,266666.67,0,1846.16,0,0
11449,Rottnest Island,-32,115.41667,2018-08-31T10:07:00Z,2018,8,31,10:07:00,1088.08,259.06,310.88,6321.25,120725.39,0,5233.16,0,181.35
11279,Kangaroo Island,-35.83217,136.44733,2018-08-21T08:00:00Z,2018,8,21,08:00:00,4558.83,220.59,0,5245.1,82843.13,0,784.32,0,196.08
11210,Yongala,-19.30847,147.61842,2018-08-17T10:23:00Z,2018,8,17,10:23:00,13111.07,148.14,0,8814.79,221111.11,0,16962.96,0,0
11377,North Stradbroke,-27.345,153.562,2018-08-17T10:20:00Z,2018,8,17,10:20:00,178516.72,0,0,5861.18,80677.29,0,94238.44,0,0
11184,Darwin,-12.4,130.76805,2018-07-31T16:00:00Z,2018,7,31,16:00:00,6406.4,1301.3,3003,2402.4,0,0,21621.6,0,500.5
11293,Rottnest Island,-32,115.41667,2018-07-27T09:33:00Z,2018,7,27,09:33:00,13520,800,0,4057.14,284285.71,100,23700,0,1000
11092,Port Hacking,-34.11923,151.22667,2018-07-25T09:33:00Z,2018,7,25,09:33:00,24561.41,70.18,0,2771.94,74736.84,0,4491.22,0,210.53
11197,Yongala,-19.30847,147.61842,2018-07-20T10:56:00Z,2018,7,20,10:56:00,3032.05,204.07,0,4293.65,192022.27,0,7813.4,0,204.08
11106,Rottnest Island,-32,115.41667,2018-07-19T09:35:00Z,2018,7,19,09:35:00,10518.5,515.3,0,901.78,226516.36,0,14170.69,0,257.65
11392,North Stradbroke,-27.345,153.562,2018-07-18T10:20:00Z,2018,7,18,10:20:00,75959.59,0,0,1222.22,209090.9,0,91717.17,0,0
10982,Maria Island,-42.59667,148.23333,2018-07-12T08:40:00Z,2018,7,12,08:40:00,3227.27,500.01,0,1250,109648.39,0,1340.91,0,181.82
11023,Maria Island,-42.59667,148.23333,2018-06-28T09:00:00Z,2018,6,28,09:00:00,1304.34,1902.17,0,5643.11,189447.47,0,4456.52,27.17,217.4
11064,Port Hacking,-34.11923,151.22667,2018-06-27T09:41:00Z,2018,6,27,09:41:00,5448,502.9,3352.61,3499.3,270618.56,0,21121.45,0,670.52
11334,Yongala,-19.30847,147.61842,2018-06-21T11:30:00Z,2018,6,21,11:30:00,8696.96,673.4,4713.8,2323.23,104545.45,0,12121.21,0,0
11078,Rottnest Island,-32,115.41667,2018-06-20T09:56:00Z,2018,6,20,09:56:00,10670.32,439.56,0,7142.86,435164.83,0,28461.53,0,329.67
10967,Maria Island,-42.59667,148.23333,2018-06-06T09:30:00Z,2018,6,6,09:30:00,871.8,820.51,0,4452.99,180341.87,0,487.18,0,51.28
11132,Yongala,-19.30847,147.61842,2018-06-03T09:10:00Z,2018,6,3,09:10:00,33658.89,1383.06,50505.05,6392.59,185491.28,0,102564.1,0,0
11038,North Stradbroke,-27.345,153.562,2018-05-30T10:20:00Z,2018,5,30,10:20:00,8040,80,2000,4740,53000,0,6240,0,0
11051,Port Hacking,-34.11923,151.22667,2018-05-29T09:50:00Z,2018,5,29,09:50:00,6718.39,4660.18,0,1572.81,38466.02,0,1165.03,0,0
11008,Kangaroo Island,-35.83217,136.44733,2018-05-16T08:15:00Z,2018,5,16,08:15:00,656.56,732.32,0,4393.92,38888.89,0,353.53,0,176.77
10937,Rottnest Island,-32,115.41667,2018-05-11T09:21:00Z,2018,5,11,09:21:00,13656.25,208.34,0,6822.92,256510.42,0,28750.02,104.17,104.17
10995,Darwin,-12.4,130.76805,2018-05-10T07:02:00Z,2018,5,10,07:02:00,3621.52,1458.33,3472.22,555.55,0,69.44,15277.78,0,138.89
11119,Yongala,-19.30847,147.61842,2018-04-26T09:48:00Z,2018,4,26,09:48:00,1147.95,51.02,0,2602.04,51020.4,0,637.75,0,0
10672,Maria Island,-42.59667,148.23333,2018-04-19T09:30:00Z,2018,4,19,09:30:00,10884.37,1700.68,0,2230.36,187068.65,0,7278.92,136.06,136.05
10584,North Stradbroke,-27.345,153.562,2018-04-17T10:15:00Z,2018,4,17,10:15:00,348.96,0,520.83,1067.71,19270.84,0,52.08,0,26.04
10950,Yongala,-19.30847,147.61842,2018-03-29T10:27:00Z,2018,3,29,10:27:00,535.71,204.08,4387.76,1607.14,29081.63,0,229.59,0,25.51
10673,Rottnest Island,-32,115.41667,2018-03-28T09:23:00Z,2018,3,28,09:23:00,1734.68,255.1,892.85,8096.93,193877.56,0,484.69,0,51.02
10807,Port Hacking,-34.11923,151.22667,2018-03-27T09:40:00Z,2018,3,27,09:40:00,19876.68,153.33,9000,3576.67,28000,0,2200,0,0
10599,North Stradbroke,-27.345,153.562,2018-03-20T10:40:00Z,2018,3,20,10:40:00,1360.55,97.18,63654.03,2536.44,38872.7,0,194.36,0,0
10889,Maria Island,-42.59667,148.23333,2018-03-16T08:45:00Z,2018,3,16,08:45:00,1004.91,3774.51,0,9200.98,112745.1,0,1421.58,0,0
10833,Kangaroo Island,-35.83217,136.44733,2018-03-07T12:20:00Z,2018,3,7,12:20:00,4366.66,366.66,0,2818.18,179090.91,0,1433.33,0,33.33
10614,North Stradbroke,-27.345,153.562,2018-03-02T10:25:00Z,2018,3,2,10:25:00,1231.18,50.26,3015.08,879.41,61809.05,0,376.88,0,0
10644,Maria Island,-42.59667,148.23333,2018-03-02T09:30:00Z,2018,3,2,09:30:00,180833.33,5000,0,1333.33,214000.01,0,104166.67,0,0
10785,Port Hacking,-34.11923,151.22667,2018-02-22T09:18:00Z,2018,2,22,09:18:00,3685.57,695.88,5309.27,8626.65,141384.39,0,1649.47,77.32,77.32
10705,Rottnest Island,-32,115.41667,2018-02-21T10:05:00Z,2018,2,21,10:05:00,152.28,50.76,0,1270.53,125410.57,0,913.69,0,203.04
10745,Yongala,-19.30847,147.61842,2018-02-20T10:30:00Z,2018,2,20,10:30:00,1081.62,25.51,816.33,2602.04,52551.01,0,1173.46,0,0
10534,Darwin,-12.4,130.76805,2018-02-09T07:00:00Z,2018,2,9,07:00:00,7200,500,50,200,0,0,8000,0,0
10704,Yongala,-19.30847,147.61842,2018-01-30T10:05:00Z,2018,1,30,10:05:00,4595.98,50.5,12424.24,1627.37,111111.12,0,555.55,0,0
10727,Rottnest Island,-32,115.41667,2018-01-25T10:00:00Z,2018,1,25,10:00:00,2043.28,72.12,408.66,745.19,45401.79,0,3437.51,24.04,96.15
10767,Port Hacking,-34.11923,151.22667,2018-01-24T09:41:00Z,2018,1,24,09:41:00,375,150,0,5075,91000,0,850,0,75
