NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
ESP20120910,1740,Esperance,-33.93333,121.85,2012-09-10 12:51:00
NIN20120509,1743,Ningaloo,-21.99,113.779,2012-05-09 10:50:00
YON20110118,148,Yongala,-19.30847,147.61842,2011-01-18 11:30:00
ROT20110224,172,Rottnest Island,-32,115.41667,2011-02-24 09:35:00
NSI20101215,101,North Stradbroke,-27.345,153.562,2010-12-16 08:30:00
NSI20090916,116,North Stradbroke,-27.345,153.562,2009-09-17 08:30:00
ROT20110622,131,Rottnest Island,-32,115.41667,2011-06-22 10:00:00
KAI20111219,152,Kangaroo Island,-35.83217,136.44733,2011-12-20 09:30:00
NSI20100916,186,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00
NIN20101108,32,Ningaloo,-21.99,113.779,2010-11-08 15:00:00
PHB20111117,114,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00
MAI20090716,137,Maria Island,-42.59667,148.23333,2009-07-16 11:36:00
YON20100729,144,Yongala,-19.30847,147.61842,2010-07-29 11:22:00
MAI20110812,3,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00
MAI20090506,6,Maria Island,-42.59667,148.23333,2009-05-06 11:20:00
MAI20091111,11,Maria Island,-42.59667,148.23333,2009-11-11 11:30:00
MAI20100722,16,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00
PHB20090623,23,Port Hacking,-34.11923,151.22667,2009-06-24 09:10:00
ROT20120221,36,Rottnest Island,-32,115.41667,2012-02-21 09:40:00
KAI20120415,37,Kangaroo Island,-35.83217,136.44733,2012-04-15 10:42:00
DAR20120114_21:30,53,Darwin,-12.4,130.76805,2012-01-15 07:00:00
ROT20100315,67,Rottnest Island,-32,115.41667,2010-03-15 10:00:00
MAI20100615,70,Maria Island,-42.59667,148.23333,2010-06-15 11:10:00
NSI20100618,71,North Stradbroke,-27.345,153.562,2010-06-18 12:30:00
YON20160927,9345,Yongala,-19.30847,147.61842,2016-09-27 10:33:00
MAI20150723,7908,Maria Island,-42.59667,148.23333,2015-07-23 10:45:00
MAI20150811,8022,Maria Island,-42.59667,148.23333,2015-08-12 09:35:00
YON20160122,8643,Yongala,-19.30847,147.61842,2016-01-22 10:39:00
YON20160215,8658,Yongala,-19.30847,147.61842,2016-02-15 10:18:00
ROT20160413,8825,Rottnest Island,-32,115.41667,2016-04-13 09:30:00
NSI20150731,7777,North Stradbroke,-27.345,153.562,2015-07-31 10:15:00
NSI20151027,7923,North Stradbroke,-27.345,153.562,2015-10-27 10:50:00
KAI20150909,8075,Kangaroo Island,-35.83217,136.44733,2015-09-09 12:50:00
