SAMPLE,BIOMASS_MG_M3
448-41,7.8
448-53,2.5333
448-65,11.4667
449-45,5.8
457-61,3.0667
450-9,1
450-61,14.7333
458-1,1.6
458-17,6.6
459-25,1.4667
464-5,1.8667
464-9,1.6667
481-77,13.0667
481-89,7.4667
482-13,1.3333
482-49,1.7333
482-57,7.2667
483-37,10
483-41,7.8
483-45,5
483-57,11.2667
513-25,2.2
513-69,4.9333
514-29,3.7333
498-9,1.7333
519-13,0.4
536-17,3.0667
536-61,13.1333
535-17,3.96
535-37,1.14
535-41,2.04
535-69,3.42
518-33,7
518-57,7.6
520-73,4.2667
443-1,2.6
454-53,5.2667
456-17,13.1333
456-45,5.5333
456-53,2.2667
465-13,1.2
464-65,1.8
469-33,14.1333
469-49,11.2667
469-57,4.1333
469-73,3.2
469-77,1.5333
482-101,2.1333
482-105,1.9333
513-9,2.4667
488-13,1.1333
517-13,1.4667
517-29,3.2667
517-45,4.5333
516-21,5.8667
458-49,2.4
458-57,2.3333
458-73,3
449-53,3.1333
449-57,1.8667
449-61,8.6667
478-5,6.6667
391-1,3.6
391-5,1.8667
391-13,12.1333
391-25,8.3333
391-37,12.3333
463-17,3.6
480-17,2.8
491-13,1.2
493-1,1.8667
533-21,8.6636
537-1,0.6667
537-25,0.6667
505-33,10.2667
505-49,6.8667
442-9,3.4667
449-77,4.3333
454-81,17.4667
457-21,6.2667
514-57,11.3333
485-1,0.3333
485-12,0.6
487-13,0.2667
480-21,2.9333
480-73,4.8
481-21,9.2667
481-41,20.4667
497-13,2.0667
501-1,0.8
502-9,3
213-97,5.5333
213-85,9.8
206-21,8.6667
206-57,10.4
271-5,3
271-57,3
268-9,2.6667
268-77,16.1333
239-29,3.9333
65-29,4.3333
65-41,7
297-45,2.4667
297-61,7
297-69,16
269-45,14.2667
298-65,10.2
299-61,2.1333
296-1,2.0667
296-45,4.6667
305-29,8.8667
305-61,10.9333
305-73,1.3333
305-77,0.6667
296-57,2.4667
308-21,2.2667
308-65,1.6667
304-37,7.5333
304-41,6
304-53,4.9333
304-81,7.9333
306-13,0.6
304-93,5.2667
302-37,2.9333
302-41,8.0667
301-1,0.7333
301-9,1.1333
301-21,0.7333
324-49,0.3333
324-69,1.2
346-57,7.1333
346-85,1.1333
328-9,17.5333
328-17,4.8667
367-25,0.1333
367-33,1.7333
367-41,3.5333
367-77,3.6
367-85,2.6
366-41,0.2667
366-57,1.2667
366-69,4.8667
365-33,8.3333
365-5,2.2
365-37,5.3333
365-41,9.9333
336-45,3.2
311-9,8.4
358-37,3.9333
358-53,2.1333
358-73,9.6
339-29,18.6
254-29,8
213-41,20.6667
213-89,11.4667
297-41,2.3333
324-21,1.4
333-5,5.1333
214-65,3.1333
385-41,8.2667
385-53,2.4667
385-73,1.0667
384-25,10.8667
392-25,18.2
392-45,6.6667
307-21,2.4
325-57,2.6
325-77,9.4
323-37,3.6667
323-25,0.8667
323-73,1
323-57,1.8
332-17,2.8667
332-37,4.4
330-65,0.8667
330-81,2.2
315-9,2.0667
