NRS_TRIP_CODE,SAMPLE_DEPTH_M,SALINITY,SALINITY_FLAG,SILICATE_UMOL_PER_L,SILICATE_FLAG,NITRATE_UMOL_PER_L,NITRATE_FLAG,PHOSPHATE_UMOL_PER_L,PHOSPHATE_FLAG,AMMONIUM_UMOL_PER_L,AMMONIUM_FLAG,NITRITE_UMOL_PER_L,NITRITE_FLAG,TCO2_UMOL_PER_KG,CARBON_FLAG,TALKALINITY_UMOL_PER_KG,ALKALINITY_FLAG,OXYGEN_UMOL_PER_L,OXYGEN_FLAG
NRSPHB20141021,10,35.517,1,0,1,(null),9,0.13,1,0.96,2,(null),9,(null),9,(null),9,(null),9
NRSKAI20140713,10,35.817,1,0.4,1,0.5,1,0.13,1,0.21,1,(null),9,2100.69,1,2351.34,1,(null),9
NRSMAI20140703,30,35.317,1,0.3,1,2.1,1,0.27,1,1.02,2,(null),9,2097.62,1,2327.31,1,250.7,1
NRSMAI20140703,10,35.327,1,0.4,1,2.2,1,0.28,1,0.03,1,(null),9,2095.68,1,2327.19,1,246.7,1
NRSMAI20140807,10,35.322,1,0.5,1,2.4,1,0.29,1,0.19,1,(null),9,2097.44,1,2327.87,1,(null),9
NRSNSI20120912,30,35.535,1,0.9,1,2,1,0.29,1,0.18,1,(null),9,2042.6,1,2327.99,1,(null),9
NRSMAI20130528,0,35.407,1,0.5,1,2.4,1,0.26,1,0.01,1,(null),9,2094.13,1,2330.56,1,268.5,2
NRSMAI20140205,82,35.203,1,1.9,1,4,1,0.41,1,0.06,1,(null),9,2106.66,1,2319.59,1,228.5,1
NRSKAI20141029,0,35.836,1,0.3,1,0,1,0.13,1,0.1,1,(null),9,2134.44,1,2361.14,1,(null),9
NRSKAI20141201,30,36.059,1,0.1,1,0,1,0.09,1,0.35,1,(null),9,2102.36,1,2355.69,1,(null),9
NRSPHB20141112,60,35.539,1,1.7,1,5.6,1,0.42,1,0.2,1,(null),9,2091.88,1,2327.82,1,(null),9
NRSMAI20150312,0,35.577,1,0.3,1,0,1,0.13,1,0.23,1,(null),9,2064.12,1,2332.88,1,244.7,1
NRSMAI20150312,85,35.483,1,0.8,1,1.8,1,0.24,1,0.43,2,(null),9,2081.01,1,2329.82,1,233.3,1
NRSNSI20150304,10,35.384,1,0.7,1,0,1,0.05,1,0.02,1,(null),9,1983.12,1,2317.48,1,(null),9
NRSYON20140820,20,35.426,1,0.8,1,0,1,0.07,1,0.2,1,(null),9,2000.11,1,2318.08,1,(null),9
NRSPHB20121009,50,35.413,2,2.4,1,5.8,1,0.48,1,0.43,1,(null),9,(null),9,(null),9,(null),9
NRSROT20141216,0,35.672,1,0.9,1,0.1,1,0.06,1,0.06,1,(null),9,2026.76,1,2335.26,1,(null),9
NRSKAI20150909,40,36.076,1,0.9,1,0.2,1,0.18,1,0.13,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20151116,20,35.864,1,0.4,1,0,1,0.18,1,0.04,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20150526,40,35.31,1,1.1,1,3.4,1,0.32,1,0.08,1,(null),9,(null),9,(null),9,255.3,1
NRSNSI20150731,10,35.664,1,0.5,1,0,1,0.11,1,0.31,1,(null),9,2017.84,1,2335.02,1,(null),9
NRSMAI20151118,10,35.358,1,0.5,1,0.1,1,0.2,1,0.05,1,(null),9,2054.29,1,2327.19,1,280.1,1
NRSYON20150430,26,35.355,1,0.7,1,0,1,0.04,1,0.09,1,(null),9,1970.78,1,2309.73,1,(null),9
NRSNSI20151027,30,35.633,1,0.3,1,0,1,0.1,1,0.45,1,(null),9,2018.58,1,2332.99,1,(null),9
NRSROT20150724,10,35.404,1,2.1,1,0.2,1,0.06,1,0.1,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20150330,20,35.606,1,0.1,1,0.5,1,0.35,1,1.93,1,(null),9,2015.6,1,2333.63,1,(null),9
NRSYON20160823,10,35.62,1,1.5,1,0,1,0.1,1,0.14,1,0,1,2009.1,1,2322.83,1,(null),9
NRSROT20161004,10,35.712,0,1.8,1,0,1,0.04,1,0.06,1,(null),9,(null),9,(null),9,(null),9
NRSNSI20160120,0,35.62,1,0.5,1,0,1,0.07,1,0,1,(null),9,2005.11,1,2330.32,1,(null),9
NRSNSI20160412,30,35.535,1,0.7,1,0,1,0.1,1,0,1,(null),9,1992.96,1,2326.55,1,(null),9
NRSMAI20160209,10,35.344,1,0,1,0,1,0.02,1,0,1,(null),0,2037.92,1,2320.15,1,241.9,1
NRSPHB20160829,50,35.657,0,0.7,1,1.2,1,0.23,1,0.42,1,0.02,1,(null),9,(null),9,(null),9
NRSYON20160122,20,35.613,1,1,1,0,1,0.02,1,0.05,1,(null),9,1987.58,1,2320.06,1,(null),9
NRSYON20160215,10,35.606,1,1.6,1,0,1,0.02,1,0.06,1,(null),9,1990.75,1,2314.6,1,(null),9
NRSMAI20160630,20,35.291,1,1.3,1,3.5,1,0.36,1,0.02,1,0.11,1,(null),9,(null),9,254.5,1
NRSMAI20160630,50,35.286,1,1.3,1,3.6,1,0.36,1,0.02,1,0.12,1,2099.54,1,2324.53,1,255.3,1
NRSMAI20160831,10,35.229,1,0.7,1,2.8,1,0.34,1,0.05,1,0.15,1,2096.97,1,2325.76,1,280.8,1
NRSMAI20160831,50,35.214,1,1.1,1,3.7,1,0.38,1,0,1,0.14,1,2101.34,1,2325.16,1,270.4,1
NRSPHB20160407,75,(null),9,1.4,1,4.7,1,0.4,1,0.1,1,(null),9,2071.52,1,2333.4,1,(null),9
NRSPHB20160615,75,(null),9,2.4,1,6.9,1,0.54,1,0.63,1,(null),9,2093.67,1,2326.97,1,(null),9
NRSPHB20160502,20,35.653,1,0.9,1,0.5,1,0.13,1,0.06,1,(null),9,2037.47,1,2336.69,1,(null),9
NRSPHB20160502,40,35.61,1,2.3,1,4.9,1,0.42,1,0.05,1,(null),9,2071.78,1,2332.11,1,(null),9
NRSYON20160624,10,35.488,1,1.8,1,0,1,0.03,1,0.01,1,(null),9,1991.59,1,2312.64,1,(null),9
NRSROT20160223,30,35.788,1,1.2,1,0.4,1,0.07,1,0.26,1,(null),9,(null),9,(null),9,(null),9
NRSDAR20160201_2130,16,33.549,1,1.2,1,0.2,1,0.66,1,0.49,1,(null),9,1939.88,1,2206.98,1,(null),9
NRSYON20160601,26,35.571,1,1.4,1,0,1,0.03,1,0.09,1,(null),9,1990.25,1,2312.7,1,(null),9
NRSNSI20160822,40,35.708,1,0.8,1,1.5,1,0.19,1,0.48,1,0.14,1,(null),9,(null),9,(null),9
NRSNSI20160623,57,35.607,1,2.4,0,5.6,0,0.42,0,0.09,0,(null),0,2084.3,1,2333.95,1,(null),9
NRSDAR20160530,15,34.463,1,7.5,0,0.4,0,0.18,0,0.33,0,(null),0,1988.86,1,2276.53,1,(null),9
NRSPHB20151013,10,35.635,1,0.5,1,0,1,0.24,1,0.14,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20151013,50,35.627,1,1.3,1,3.6,1,0.34,1,0.03,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20160303,85,35.476,1,6.1,1,0.5,1,0.05,1,0.59,1,(null),0,2094.61,1,2326.08,1,198.8,1
NRSMAI20160428,50,35.562,1,2.4,1,0.3,1,0.17,1,0.23,1,(null),0,2076.11,1,2330.19,1,232.9,1
NRSNSI20160517,30,35.658,1,0.7,1,0,1,0.1,1,0,1,(null),9,2012.28,1,2334.37,1,(null),9
NRSROT20151215,40,35.697,1,1.5,1,0.7,1,0.08,1,0.08,1,(null),9,2074.5,1,2346.79,1,(null),9
NRSMAI20151216,0,35.538,1,0,1,0.1,1,0.02,1,0,1,(null),0,2058.56,1,2334.45,1,254.1,1
NRSMAI20151216,50,35.376,1,2.9,1,0.3,1,0.05,1,0.54,1,(null),0,2088.68,1,2326.58,1,242.4,1
NRSNSI20140623,0,35.424,1,0.3,1,0.1,1,0.07,1,0.05,1,(null),9,1996.15,1,2318.69,1,(null),9
NRSPHB20170821,0,35.687,1,1.2,1,2.1,1,0.26,1,0.26,1,0.12,1,2062.2,1,2340.53,1,(null),9
NRSNSI20170927,20,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSPHB20160926,30,35.687,1,0.7,0,0.7,0,0.15,0,0.22,0,(null),0,(null),9,(null),9,(null),9
NRSPHB20160926,50,35.59,1,1,0,1,0,0.21,0,0.58,0,(null),0,(null),9,(null),9,(null),9
NRSNSI20170829,50,35.648,1,(null),9,(null),9,(null),9,(null),9,(null),9,2046,1,2335.39,1,(null),9
NRSPHB20180326,20,35.659,1,0.2,1,0,1,0.05,1,0.01,1,0.01,1,2024.68,1,2339.13,1,(null),9
NRSPHB20180326,60,35.42,1,3.6,1,9.4,1,0.73,1,0.15,1,0.09,1,2112.62,1,2327.01,1,(null),9
NRSMAI20180418,50,35.547,1,0.7,1,1.3,1,0.23,1,0.17,1,0.4,1,2077.59,1,2335.69,1,242.6,1
NRSMAI20170104,40,35.212,1,0.3,0,0.8,0,0.16,0,0.05,0,(null),0,(null),9,(null),9,(null),9
NRSMAI20170104,85,35.189,0,2,0,5,0,0.43,0,0.03,0,(null),0,2103.67,1,2319.11,1,(null),9
NRSMAI20170412,30,35.422,1,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,240.1,1
NRSNSI20170516,10,35.503,0,1,1,0,1,0.06,1,0.02,1,0,1,2004.02,1,2327.07,1,(null),9
NRSMAI20170626,85,35.279,1,1,1,3.7,1,0.38,1,0.04,1,0.23,1,2101.86,1,2324.23,1,258,1
NRSNSI20171116,30,35.593,1,0.7,1,1.6,1,0.17,1,0.3,1,0.14,1,2037.53,1,2332.93,1,(null),9
NRSNSI20171116,40,35.611,1,1.3,1,3.9,1,0.35,1,0.18,1,0.13,1,(null),9,(null),9,(null),9
NRSYON20170426,10,34.873,1,1.8,1,0,1,0.02,1,0.01,1,0.04,1,1953.22,1,2259.76,1,(null),9
NRSMAI20161117,60,35.105,1,1.3,1,3,1,0.42,1,1.29,1,0.3,1,(null),9,(null),9,249.1,1
NRSPHB20161204,25,35.5,1,1.2,0,1.9,0,0.34,0,0.57,0,(null),0,(null),9,(null),9,(null),9
NRSYON20171130,10,35.462,1,1.1,1,0,1,0.03,1,0,1,0.01,1,1994.07,1,2315.82,1,(null),9
NRSYON20171130,26,35.461,1,1,1,0,1,0.03,1,0,1,0,1,1993.63,1,2315.46,1,(null),9
NRSROT20170407,46,35.77,1,1.9,1,0.6,1,0.1,1,0.1,1,(null),0,2062.5,1,2346.08,1,(null),9
NRSMAI20170601,40,35.269,0,1.1,1,3.8,1,0.37,1,0.03,1,0.29,1,(null),9,(null),9,252.4,1
NRSMAI20170223,85,35.539,1,3.6,0,9.1,0,0.67,0,0.06,0,(null),0,2115.76,1,2322.56,1,203.4,1
NRSROT20180125,0,35.763,1,1,0,0.1,0,0.07,0,0.05,0,(null),0,2039.24,1,2341.25,1,223.9,1
NRSMAI20170921,50,35.239,0,0.9,1,3.1,1,0.33,1,0.07,1,0.29,1,2101.97,1,2323.5,1,271.1,1
NRSNSI20170424,40,35.594,1,0.7,1,0.1,1,0.04,1,0.05,1,0.07,1,(null),9,(null),9,(null),9
NRSROT20171214,46,35.673,1,2.2,0,0.3,0,0.11,0,0.27,0,(null),0,2054.19,1,2343.14,1,213.9,1
NRSMAI20171015,40,35.129,0,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,285,1
NRSPHB20171024,30,35.486,1,1.8,1,3.4,1,0.44,1,0.46,1,0.23,1,(null),9,(null),9,(null),9
NRSMAI20170801,30,35.234,0,0.9,1,3.9,1,0.39,1,0.03,1,0.17,1,2104.53,1,2328.2,1,264.9,1
NRSPHB20170517,40,35.811,1,0.8,1,0.1,1,0.08,1,0.04,1,0.03,1,2038.7,1,2348.35,1,(null),9
NRSDAR20170203_0630,0,32.677,1,5.3,0,0.4,0,0.19,0,0.1,0,(null),0,1914.75,1,2184.63,1,(null),9
NRSPHB20170614,25,35.725,1,0.8,1,0.7,1,0.14,1,0.41,1,0.14,1,(null),9,(null),9,(null),9
NRSPHB20170716,25,35.679,1,0.9,1,1,1,0.15,1,0.27,1,0.18,1,(null),9,(null),9,(null),9
NRSPHB20170716,40,35.683,1,2.2,1,6.1,1,0.46,1,0.01,1,0.18,1,2044.89,1,2337.48,1,(null),9
NRSPHB20170716,60,35.637,1,1.3,1,1.4,1,0.22,1,0.96,1,0.21,1,2051.49,1,2336.23,1,(null),9
NRSNSI20180123,10,(null),9,0.7,1,0,1,0.03,1,0,1,0.01,1,1999.53,1,2325.15,1,(null),9
NRSROT20171123,20,35.632,1,1.4,0,0.1,0,0.1,0,0.1,0,(null),0,2048.1,1,2340.75,1,232.5,1
NRSPHB20180221,10,35.658,1,0.9,1,0,1,0.09,1,0.28,1,0.03,1,(null),9,(null),9,(null),9
NRSPHB20180221,75,35.422,1,3.6,1,9.3,1,0.68,1,0.3,1,0.08,1,2116.8,1,2324.64,1,(null),9
NRSROT20170523,20,35.401,1,3.3,0,0.3,0,0.09,0,0.15,0,(null),0,2025.11,1,2325.46,1,217.2,1
NRSDAR20170203_0330,10,32.941,1,3.9,0,0.3,0,0.17,0,0.16,0,(null),0,1909.31,1,2202.05,1,(null),9
NRSDAR20170203_0330,19.5,32.999,1,3.3,0,0.5,0,0.26,0,0.35,0,(null),0,1920.34,1,2220.34,1,(null),9
NRSDAR20170203_0330,0,32.61,1,4.8,0,0.7,0,0.19,0,0.27,0,(null),0,1918.12,1,2181.67,1,(null),9
NRSPHB20171211,20,35.594,1,0.3,1,0,1,0.12,1,0.12,1,0.01,1,2041.57,1,2336.24,1,(null),9
NRSYON20180329,0,34.62,1,1.2,1,0,1,0.01,1,0.03,1,0.01,1,1937.31,1,2254.18,1,(null),9
NRSNSI20180718,20,35.526,1,0,1,0,1,0.06,1,0.01,1,0.01,1,(null),9,(null),9,(null),9
NRSROT20181024,30,35.596,1,2.2,1,0.1,1,0.06,1,0.44,1,0.06,1,(null),9,(null),9,232,1
NRSMAI20181204,75,35.241,1,1,1,2,1,0.26,1,0.14,1,0.39,1,2098.15,1,2325.75,1,256,1
NRSNSI20180530,0,35.435,0,0.5,1,0,1,0.05,1,0,1,0.03,1,2000.71,1,2321.03,1,(null),9
NRSROT20200304,20,36.072,1,1.3,1,0.1,1,0.07,1,0.02,1,0.02,1,(null),9,(null),9,218.8,1
NRSMAI20200106,60,35.023,1,1.3,1,2.4,1,0.4,1,(null),0,0.21,1,(null),9,(null),9,(null),9
NRSPHB20200609,100,35.533,1,3.6,1,7.8,1,0.65,1,0.16,1,0.12,1,(null),9,(null),9,(null),9
NRSPHB20190522,20,35.38,1,0.1,1,0,1,0.06,1,0.06,1,0.02,1,(null),9,(null),9,(null),9
NRSPHB20200630,60,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSPHB20200812,10,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSPHB20200812,60,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSPHB20191118,100,35.475,1,3,1,7.2,1,0.58,1,0.03,1,0.18,1,2105.85,1,2330.7,1,(null),9
NRSNSI20200625,30,35.602,1,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSNSI20200625,40,35.633,1,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSNSI20200625,50,35.659,1,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSNSI20200817,30,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSROT20200730,0,35.528,1,1.7,1,0.1,1,0.06,1,0.1,1,0.06,1,(null),9,(null),9,(null),9
NRSROT20180727,30,35.383,1,1.7,0,0.1,0,0.13,0,0.19,0,(null),0,(null),9,(null),9,226.9,1
NRSYON20190528,26,35.08,1,0.9,1,0,1,0.05,1,0.06,1,0.01,1,1975.56,1,2279.93,1,(null),9
NRSPHB20181218,60,35.386,1,3.3,1,9.6,1,0.7,1,0.1,1,0.07,1,2116.76,1,2324.76,1,(null),9
NRSDAR20190723_0030,10,35.241,0,6.2,1,0.1,1,0.29,1,0.11,1,0.13,1,2029.13,1,2327.98,1,(null),9
NRSNSI20191024,20,35.503,1,0.1,1,0.1,1,0.09,1,(null),0,0.03,1,(null),9,(null),9,(null),9
NRSNSI20191024,30,35.611,1,1.4,1,4.9,1,0.41,1,(null),0,0.1,1,2078.92,1,2330.92,1,(null),9
NRSMAI20190731,75,35.333,1,1,1,2.8,1,0.29,1,0.06,1,0.18,1,2109.31,1,2329.03,1,262.4,1
NRSPHB20180905,10,35.653,0,0.9,1,0.4,1,0.13,1,0.12,1,0.09,1,(null),9,(null),9,(null),9
NRSPHB20180927,60,35.576,0,2.5,1,5.7,1,0.49,1,0,1,0.31,1,2101.48,1,2335.84,1,(null),9
NRSPHB20180927,75,35.551,1,2.8,1,6.3,1,0.51,1,0.03,1,0.18,1,2104.82,1,2335.74,1,(null),9
NRSPHB20190121,60,35.412,1,2.8,1,8.7,1,0.76,1,0.64,1,0.55,1,2112.35,1,2322.89,1,(null),9
NRSROT20200814,30,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSROT20200825,10,35.58,1,2,1,0,1,0.04,1,0.01,1,0.02,1,(null),9,(null),9,(null),9
NRSMAI20200909,30,35.254,1,1.5,1,3.8,1,0.43,1,0.08,1,0.31,1,(null),9,(null),9,269,1
NRSMAI20190106,75,35.219,1,2,1,5.5,1,0.49,1,0.23,1,0.4,1,2104.78,1,2322.59,1,235.6,1
NRSDAR20200204_0330,10,34.419,1,5.2,1,1.1,1,0.31,1,0.1,1,0.47,1,1966.78,1,2254.05,1,(null),9
NRSROT20190125,20,35.881,1,1.5,1,0,1,0.07,1,0.04,1,0.01,1,(null),9,(null),9,(null),9
NRSNSI20190322,20,35.293,1,1.4,1,0,1,0.06,1,0.01,1,0.03,1,(null),9,(null),9,(null),9
NRSPHB20190408,10,35.441,1,0.6,1,0,1,0.09,1,0.04,1,0.02,1,(null),9,(null),9,(null),9
NRSKAI20200527,40,(null),9,0.3,1,0.2,1,0.1,1,(null),0,0.13,1,(null),9,(null),9,(null),9
NRSROT20190221,40,35.853,1,1.7,1,0.4,1,0.13,1,0.06,1,0.06,1,2074.11,1,2357.22,1,223.1,1
NRSMAI20190320,10,35.437,0,0.3,1,0,1,0.11,1,0.1,1,0.01,1,2068.14,1,2338.76,1,245.6,1
NRSDAR20190214_0030,0,34.103,1,10.5,1,4,1,0.56,1,0.18,1,0.76,1,1982.58,1,2253.18,1,(null),9
NRSPHB20181120,10,35.482,1,0.8,1,0.8,1,0.26,1,0.94,1,0.07,1,(null),9,(null),9,(null),9
NRSMAI20190430,60,35.408,1,0.7,1,1,1,0.23,1,0.24,1,0.34,1,(null),9,(null),9,249.6,1
NRSNSI20190416,30,35.241,1,0.5,1,0,1,0.04,1,0.01,1,0.03,1,1987.14,1,2309.94,1,(null),9
NRSNSI20190618,57,35.537,1,1.3,1,3.6,1,0.32,1,0.18,1,0.08,1,2053.77,1,2330.02,1,(null),9
NRSPHB20190626,50,35.493,1,3,1,8.4,1,0.65,1,0,1,0.11,1,(null),9,(null),9,(null),9
NRSYON20190313,26,34.693,1,1.4,1,0,1,0.04,1,0.01,1,0.03,1,1948.33,1,2260.6,1,(null),9
NRSYON20191107,20,36.125,1,1.8,1,0,1,0.08,1,(null),0,0.01,1,2046.14,1,2350.88,1,(null),9
NRSPHB20191028,100,35.421,0,3,1,0,1,0.64,1,0.01,1,0.16,1,2110.63,1,2322.56,1,(null),9
NRSMAI20191121,75,35.131,1,1.6,1,5.1,1,0.49,1,0.84,1,0.39,1,2107.21,1,2315.24,1,263.1,1
NRSMAI20191210,20,35.092,1,0.4,1,0.9,1,0.24,1,(null),0,0.1,1,(null),9,(null),9,266.8,1
NRSKAI20111219,40,35.652,1,0.7,1,0.5,1,0.1,1,0.06,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20110829,50,35.477,1,1.5,1,5.2,1,0.41,1,0.02,1,(null),9,(null),9,(null),9,(null),9
NRSNSI20120511,40,35.168,1,1.6,1,0,1,0.09,1,0.21,1,(null),9,(null),9,(null),9,(null),9
NRSNSI20120821,20,35.509,1,0.5,1,0.5,1,0.13,1,0.16,1,(null),9,(null),9,(null),9,(null),9
NRSROT20130125,46,35.655,1,1.6,1,0.6,1,0.13,1,0.07,1,(null),9,2052.86,1,2340.16,1,(null),9
NRSYON20130220,10,34.915,1,1.1,1,0,1,0.13,1,0.05,1,(null),9,1958.39,1,2284.03,1,(null),9
NRSPHB20100413,100,35.441,1,3,1,8.2,1,0.65,1,0,1,(null),9,2100.78,1,2322.36,1,(null),9
NRSNSI20130123,40,35.452,1,0.5,1,0,1,0.11,1,0.04,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20101110,30,35.448,1,2.5,1,7.6,1,0.58,1,0.01,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20110420,25,35.343,1,0.1,1,0,1,0.01,1,0.01,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20120412,82,35.413,1,0.6,1,1.7,1,0.24,1,0.1,1,(null),9,2079.6,1,2327.79,1,239.5,1
NRSYON20100909,0,35.236,1,1.2,1,0,1,0.1,1,0.02,1,(null),9,1979.99,1,2298.7,1,(null),9
NRSKAI20120116,75,35.616,1,0.8,1,2.5,1,0.19,1,0.07,1,(null),9,2107.68,1,2340.35,1,(null),9
NRSPHB20110619,25,35.52,1,0.5,1,0.9,1,0.18,1,0.4,1,(null),9,(null),9,(null),9,(null),9
NRSNIN20120226,10,34.737,1,3.5,1,0.1,1,0.09,1,0.03,1,(null),9,(null),9,(null),9,(null),9
NRSNIN20110706,40,34.673,1,2.9,1,0,1,0.09,1,0.03,1,(null),9,1963.37,1,2274.68,1,(null),9
NRSMAI20090421,20,35.361,1,0.6,1,1.9,1,0.2,1,0.1,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20100119,0,35.488,1,0.1,1,0.1,1,0.08,1,0.12,1,(null),9,2028.24,1,2326.2,1,(null),9
NRSMAI20110328,75,35.291,1,1.1,1,3.8,1,0.32,1,0.12,1,(null),9,2078.87,1,2321.05,1,(null),9
NRSMAI20091013,10,35.064,1,0,1,0.6,1,0.24,1,0.21,1,(null),9,2072.39,1,2311.25,1,287.4,1
NRSPHB20090422,100,35.52,1,1.9,1,3,1,0.29,1,0.3,1,(null),9,2064.92,1,2327.65,1,(null),9
NRSPHB20110619,75,35.478,1,1.9,1,6.5,1,0.48,1,0.36,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20101120,10,(null),9,0,1,0.3,1,0.18,1,1.15,2,(null),9,2099.13,1,2352.54,1,(null),9
NRSROT20110923,40,35.147,1,2,1,0.1,1,0.09,1,0.03,1,(null),9,2005.32,1,2305.83,1,(null),9
NRSPHB20111018,100,35.249,1,5.3,1,11.5,1,0.86,1,0,1,(null),9,2129.75,1,2316.86,1,(null),9
NRSMAI20100120,20,35.35,1,0.3,1,0,1,0.12,1,0.05,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20110203,30,35.517,1,0.2,1,0,1,0.11,1,0,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20090920,100,35.45,1,1.7,1,5.9,1,0.33,1,0,1,(null),9,2111.2,1,2329.11,1,(null),9
NRSROT20100820,48,35.419,1,2,1,0.1,1,0.11,1,0.04,1,(null),9,2038.11,1,2330.33,1,(null),9
NRSNSI20090916,10,35.339,1,0,1,0.1,1,0.06,1,0.02,1,(null),9,1995.48,1,2306.18,1,(null),9
NRSPHB20100702,0,35.477,1,1.7,1,3.1,1,0.19,1,0.37,1,(null),9,2047.45,1,2326.76,1,(null),9
NRSPHB20110717,40,35.437,1,2.6,1,8.1,1,0.58,1,1,2,(null),9,2086.47,1,2324.93,1,(null),9
NRSMAI20120621,40,35.31,1,2,1,2.6,1,0.16,1,0.09,1,(null),9,(null),9,(null),9,262,1
NRSROT20120523,20,35.261,1,2.4,1,0.3,1,0.04,1,0.19,1,(null),9,2013.1,1,2310.42,1,(null),9
NRSESP20120612,50,35.574,1,0.1,1,0.1,1,0.15,1,(null),0,(null),9,2041.55,1,2329.51,1,1.5,1
NRSNIN20120509,50,34.625,1,3.7,1,0.3,1,0.07,1,0.14,1,(null),9,1958.37,1,2269.07,1,(null),9
NRSMAI20090506,60,35.293,1,0.8,1,3.1,1,0.27,1,0.01,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20090820,0,35.227,1,1.1,1,3.1,1,0.35,1,0.16,1,(null),9,2089.9,1,2321.81,1,(null),9
NRSMAI20090820,80,35.258,1,1.1,1,3.5,1,0.38,1,0.04,1,(null),9,2095.36,1,2323.33,1,290,1
NRSMAI20120222,60,35.33,1,2.8,1,8.1,1,0.53,1,0.13,1,(null),9,(null),9,(null),9,206.8,1
NRSMAI20120222,75,35.297,1,3.3,1,9.2,1,0.65,1,0.09,1,(null),9,2117.33,1,2321.08,1,204.9,1
NRSMAI20110407,10,35.32,1,0.7,1,1.6,1,0.22,1,0.22,1,(null),9,2067.71,1,2322.12,1,254.5,1
NRSKAI20120116,100,35.519,1,1.1,1,3.5,1,0.33,1,0.08,1,(null),9,2111.67,1,2339.62,1,(null),9
NRSPHB20111117,10,35.378,1,0,1,0.1,1,0.09,1,0.12,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20120311,50,35.229,1,2.2,1,0.3,1,0.15,1,0.31,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20100315,50,35.146,1,0.8,1,1.5,1,0.3,1,0.2,1,(null),9,2125.75,1,2324.44,1,(null),9
NRSPHB20091110,50,35.419,1,3.1,1,7.5,1,0.57,1,0.41,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20100615,30,35.251,1,0.7,1,2.9,1,0.23,1,0,1,(null),9,2092,1,2322.04,1,257,1
NRSMAI20100615,75,35.252,1,0.8,1,3,1,0.24,1,0,1,(null),9,2092.2,1,2321.76,1,255.8,1
NRSESP20100629,30,35.811,1,0,1,0.1,1,0.15,1,(null),0,(null),9,(null),9,(null),9,1.1,1
NRSMAI20100330,30,35.514,1,0.9,1,1,1,0.19,1,0.08,1,(null),9,2067.34,1,2328.71,1,236.3,1
NRSROT20111020,10,35.274,1,2,1,0.2,1,0.09,1,0.04,1,(null),9,(null),9,(null),9,(null),9
NRSROT20100520,40,35.852,1,1.6,1,0.6,1,0.18,1,0.23,1,(null),9,2087.47,1,2349.41,1,(null),9
NRSMAI20110223,60,35.188,1,0.8,1,1.6,1,0.24,1,0,1,(null),9,(null),9,(null),9,247.3,1
NRSNSI20120213,20,35.224,1,2,1,0,1,0.08,1,0.18,1,(null),9,(null),9,(null),9,(null),9
NRSESP20111130,20,35.432,1,0,1,0.1,1,0.02,1,(null),0,(null),9,2035.56,1,2321.79,1,1.1,1
NRSNSI20101215,30,35.587,1,1.1,1,4,1,0.33,1,0.1,1,(null),9,2058.83,1,2332.91,1,(null),9
NRSNSI20101115,30,35.436,1,0.4,1,0,1,0.03,1,0.1,1,(null),9,1999.08,1,2318.46,1,(null),9
NRSKAI20091115,30,35.631,1,0.7,1,0,1,0.18,1,0.44,1,(null),9,2080.98,1,2341.96,1,(null),9
NRSKAI20090114,0,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,2093.65,1,2384.29,2,(null),9
NRSDAR20111005,0,33.722,1,6.5,1,0.2,1,0.29,1,0.08,1,(null),9,1993.13,1,2267.87,1,(null),9
NRSPHB20130422,60,35.315,1,0.5,1,0.8,1,0.18,1,0.14,1,(null),9,2020.5,1,2316.28,1,(null),9
