NRS_TRIP_CODE,SAMPLE_DEPTH_M,SALINITY,SALINITY_FLAG,SILICATE_UMOL_PER_L,SILICATE_FLAG,NITRATE_UMOL_PER_L,NITRATE_FLAG,PHOSPHATE_UMOL_PER_L,PHOSPHATE_FLAG,AMMONIUM_UMOL_PER_L,AMMONIUM_FLAG,NITRITE_UMOL_PER_L,NITRITE_FLAG,TCO2_UMOL_PER_KG,CARBON_FLAG,TALKALINITY_UMOL_PER_KG,ALKALINITY_FLAG,OXYGEN_UMOL_PER_L,OXYGEN_FLAG
NRSMAI20151216,85,35.297,1,6.1,1,0.5,1,0.05,1,0.19,1,(null),0,2106.01,1,2320,1,226.9,1
NRSPHB20170321,40,35.523,1,2.5,1,6.5,1,0.53,1,0.08,1,0.68,1,2093.52,1,2330.05,1,(null),9
NRSMAI20170104,10,35.261,1,0.1,0,0,0,0.08,0,0.02,0,(null),0,2056.07,1,2323.74,1,(null),9
NRSNSI20180302,10,35.183,0,0.6,1,0,1,0.02,1,0.07,1,0.01,1,1971.53,1,2309.2,1,(null),9
NRSMAI20170323,30,35.557,1,0.8,0,0.5,0,0.15,0,0.79,0,(null),0,2070.39,1,2336.38,1,239.3,1
NRSDAR20180208_2130,10,32.253,1,6.2,1,0.9,1,0.2,1,0.11,1,0.3,1,1869.08,1,2149.55,1,(null),9
NRSMAI20171123,85,35.088,1,3.3,1,9.6,1,0.74,1,0.04,1,0.15,1,2124.38,1,2311.33,1,240,1
NRSNSI20180718,50,35.586,1,0.8,1,3.1,1,0.29,1,0.06,1,0.06,1,2056.81,1,2333.95,1,(null),9
NRSPHB20180626,25,35.695,1,0.7,1,0.9,1,0.12,1,0.19,1,0.25,1,(null),9,(null),9,(null),9
NRSROT20200128,30,35.944,1,1.1,1,0.1,1,0.08,1,0.02,1,0.02,1,(null),9,(null),9,226.6,1
NRSMAI20200628,60,35.181,1,1.4,1,3.6,1,0.39,1,(null),0,0.19,1,(null),9,(null),9,263.4,1
NRSPHB20200609,30,35.572,1,1.2,1,1.4,1,0.19,1,0.65,1,0.29,1,(null),9,(null),9,(null),9
NRSPHB20190522,100,35.485,1,4,1,8.8,1,0.71,1,0.05,1,0.12,1,(null),9,(null),9,(null),9
NRSKAI20180515,40,36.06,1,0.5,1,0.3,1,0.11,1,0.03,1,0.18,1,(null),9,(null),9,(null),9
NRSMAI20190925,60,35.139,1,0.4,1,3.1,1,0.41,1,0.61,1,0.21,1,(null),9,(null),9,283.9,1
NRSNSI20190821,57,35.612,1,2.1,1,7,1,0.55,1,0.13,1,0.03,1,2101.2,1,2336.72,1,(null),9
NRSPHB20181218,25,35.497,1,1.5,1,3.3,1,0.38,1,0.69,1,0.58,1,(null),9,(null),9,(null),9
NRSPHB20190827,40,35.59,1,1.1,1,2.8,1,0.38,1,1.75,1,0.3,1,2077.96,1,2336.89,1,(null),9
NRSPHB20190121,40,35.453,1,0.2,1,0.4,1,0.26,1,0.48,1,0.08,1,2060.14,1,2332.44,1,(null),9
NRSROT20181211,40,35.776,1,2.2,1,0.5,1,0.13,1,0.23,1,0.16,1,2081.85,1,2360.62,1,231.9,1
NRSPHB20121218,50,35.428,1,2.8,1,6.7,1,0.58,1,0.1,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20120116,90,35.512,1,1.1,1,3.4,1,0.35,1,0.05,1,(null),9,2114.68,1,2337.11,1,(null),9
NRSPHB20090819,100,35.514,1,3.7,1,8.9,1,0.63,1,0.13,1,(null),9,2114.96,1,2327.85,1,(null),9
NRSKAI20101213,105,36.192,1,0.1,1,0.1,1,0.11,1,0,1,(null),9,2122.05,1,2367.19,1,(null),9
NRSKAI20090205,20,(null),9,0.3,1,0.3,1,0.27,1,0.65,1,(null),9,(null),9,(null),9,(null),9
NRSROT20110224,40,35.313,1,2.3,1,1,1,0.12,1,0.12,1,(null),9,2015.79,1,2311.14,1,(null),9
NRSKAI20130220,20,36.258,1,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSMAI20111005,50,35.29,1,1.3,1,3.9,1,0.4,1,0.21,1,(null),9,2096.09,1,2325.64,1,269.3,1
NRSESP20100629,10,35.811,1,0,1,0.1,1,0.09,1,(null),0,(null),9,(null),9,(null),9,1.1,1
NRSYON20110118,10,33.716,1,6.1,1,0.1,1,0.18,1,0.01,1,(null),9,1904.18,1,2217.98,1,(null),9
NRSMAI20120119,50,35.465,1,0.4,1,0.5,1,0.11,1,0.26,1,(null),9,2063.81,1,2329.52,1,245.5,1
NRSKAI20081110,50,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,2108,1,2364.24,1,(null),9
NRSDAR20120115_03:35,0,33.647,1,5.8,1,0.4,1,0.4,1,0.57,1,(null),9,1964.78,1,2244.56,1,(null),9
NRSPHB20130514,30,35.364,1,1.4,1,1.8,1,0.29,1,1.11,2,(null),9,(null),9,(null),9,(null),9
NRSKAI20090114,50,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,2105.62,1,2351.89,1,(null),9
NRSDAR20120417,10,32.701,1,3.4,1,0.3,1,0.23,1,0.33,1,(null),9,1894.25,1,2180.5,1,(null),9
NRSPHB20130611,75,35.459,1,3.3,1,8,1,0.62,1,0.19,1,(null),9,2103.19,1,2324.72,1,(null),9
NRSNSI20130706,57,35.527,1,2.3,1,4.5,1,0.35,1,0.32,1,(null),9,2065.05,1,2330.53,1,(null),9
NRSMAI20131217,75,35.252,1,0.9,1,0.7,1,0.22,1,0.52,2,(null),9,2087.87,1,2321.76,1,252.3,1
NRSPHB20150121,60,35.402,1,2.9,1,9.5,1,0.71,1,0.2,1,(null),9,2113.1,1,2323.18,1,(null),9
NRSPHB20140911,100,35.525,1,2.1,1,5.2,1,0.48,1,0.06,1,(null),9,2080.34,1,2328.15,1,(null),9
NRSDAR20150804_04:30,10,34.844,1,5.7,1,0.1,1,0.27,1,0.07,1,(null),9,2010.4,1,2327.97,1,(null),9
NRSKAI20160915,75,36.03,1,1.4,1,0.2,1,0.13,1,0.2,1,(null),0,2122.3,1,2365.29,1,(null),9
NRSMAI20160720,60,35.231,1,1,1,3.6,1,0.36,1,0.02,1,0.09,1,(null),9,(null),9,259.8,1
NRSNSI20160720,57,35.656,1,1.7,1,4.3,1,0.36,1,0,1,0.16,1,2070.71,1,2336.92,1,(null),9
NRSNSI20160720,20,35.716,1,0.5,1,0.3,1,0.11,1,0.04,1,0.04,1,(null),9,(null),9,(null),9
NRSNSI20161019,40,35.573,0,1.6,1,4.7,1,0.45,1,0.22,1,0.08,1,(null),9,(null),9,(null),9
NRSMAI20160303,10,35.594,1,0,1,0.1,1,0.05,1,0,1,(null),0,2043.21,1,2333.93,1,241,1
NRSNSI20160517,50,35.676,1,1.3,1,3,1,0.3,1,0,1,(null),9,2063.52,1,2338.55,1,(null),9
NRSNSI20161116,20,35.689,1,0.5,0,0.4,0,0.14,0,1.22,0,(null),0,(null),9,(null),9,(null),9
NRSNSI20170717,20,35.673,0,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSNSI20181023,40,(null),9,0,1,0,1,0.04,1,0.82,1,0.04,1,(null),9,(null),9,(null),9
