NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,STATION_DEPTH,SAMPLEDEPTH_M
NIN20101108,Ningaloo,-21.99,113.779,2010-11-08 15:00:00,30,30
MAI20120412,Maria Island,-42.59667,148.23333,2012-04-12 10:45:00,86,75
MAI20120412,Maria Island,-42.59667,148.23333,2012-04-12 10:45:00,86,82
PHB20111206,Port Hacking,-34.11923,151.22667,2011-12-07 09:30:00,100,0
KAI20120116,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00,110,40
PHB20090422,Port Hacking,-34.11923,151.22667,2009-04-23 09:38:00,100,25
PHB20100316,Port Hacking,-34.11923,151.22667,2010-03-17 09:05:00,100,25
YON20120208,Yongala,-19.30847,147.61842,2012-02-08 10:49:00,28.9,26
PHB20110619,Port Hacking,-34.11923,151.22667,2011-06-20 09:34:00,100,10
PHB20110619,Port Hacking,-34.11923,151.22667,2011-06-20 09:34:00,100,20
YON20111213,Yongala,-19.30847,147.61842,2011-12-13 12:55:00,28.9,20
PHB20111117,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,100,10
PHB20111117,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,100,25
PHB20111117,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,100,40
PHB20120517,Port Hacking,-34.11923,151.22667,2012-05-18 09:33:00,100,30
PHB20120517,Port Hacking,-34.11923,151.22667,2012-05-18 09:33:00,100,60
YON20100729,Yongala,-19.30847,147.61842,2010-07-29 11:22:00,28.9,26
ROT20100416,Rottnest Island,-32,115.41667,2010-04-16 08:30:00,50,20
YON20110414,Yongala,-19.30847,147.61842,2011-04-14 11:27:00,28.9,20
MAI20110812,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00,86,10
MAI20110812,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00,86,40
MAI20110812,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00,86,85
MAI20090421,Maria Island,-42.59667,148.23333,2009-04-21 11:45:00,86,30
MAI20090421,Maria Island,-42.59667,148.23333,2009-04-21 11:45:00,86,60
MAI20090421,Maria Island,-42.59667,148.23333,2009-04-21 11:45:00,86,75
MAI20090506,Maria Island,-42.59667,148.23333,2009-05-06 11:20:00,86,0
MAI20090506,Maria Island,-42.59667,148.23333,2009-05-06 11:20:00,86,50
ESP20090512,Esperance,-33.93333,121.85,2009-05-12 12:10:00,50,10
PHB20090819,Port Hacking,-34.11923,151.22667,2009-08-20 09:19:00,100,50
MAI20090907,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00,86,0
MAI20090907,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00,86,10
MAI20090907,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00,86,20
MAI20090907,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00,86,75
NSI20091006,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00,60,10
NSI20091006,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00,60,30
NSI20091006,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00,60,50
NSI20091006,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00,60,57
PHB20100119,Port Hacking,-34.11923,151.22667,2010-01-20 09:20:00,100,25
MAI20100722,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00,86,20
MAI20100722,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00,86,50
MAI20100722,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00,86,75
ROT20100924,Rottnest Island,-32,115.41667,2010-09-24 12:22:00,50,30
ROT20100924,Rottnest Island,-32,115.41667,2010-09-24 12:22:00,50,40
PHB20120212,Port Hacking,-34.11923,151.22667,2012-02-13 10:00:00,100,25
MAI20110328,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00,86,0
MAI20110328,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00,86,10
MAI20110328,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00,86,20
PHB20090623,Port Hacking,-34.11923,151.22667,2009-06-24 09:10:00,100,10
PHB20090623,Port Hacking,-34.11923,151.22667,2009-06-24 09:10:00,100,60
MAI20091013,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00,86,30
ESP20091216,Esperance,-33.93333,121.85,2009-12-16 09:45:00,50,20
ESP20091216,Esperance,-33.93333,121.85,2009-12-16 09:45:00,50,48
KAI20100419,Kangaroo Island,-35.83217,136.44733,2010-04-20 07:00:00,110,0
YON20100521,Yongala,-19.30847,147.61842,2010-05-21 12:56:00,28.9,0
YON20100521,Yongala,-19.30847,147.61842,2010-05-21 12:56:00,28.9,20
KAI20110319,Kangaroo Island,-35.83217,136.44733,2011-03-20 09:40:00,110,50
KAI20120415,Kangaroo Island,-35.83217,136.44733,2012-04-15 10:42:00,110,30
KAI20110718,Kangaroo Island,-35.83217,136.44733,2011-07-19 09:00:00,110,10
ESP20090623,Esperance,-33.93333,121.85,2009-06-23 09:20:00,50,20
NSI20100322,North Stradbroke,-27.345,153.562,2010-03-23 09:15:00,60,10
YON20101101,Yongala,-19.30847,147.61842,2010-11-01 11:45:00,28.9,20
ESP20110818,Esperance,-33.93333,121.85,2011-08-18 10:20:00,50,50
YON20120112,Yongala,-19.30847,147.61842,2012-01-12 11:30:00,28.9,0
YON20120112,Yongala,-19.30847,147.61842,2012-01-12 11:30:00,28.9,20
PHB20110517,Port Hacking,-34.11923,151.22667,2011-05-18 09:25:00,100,20
PHB20091206,Port Hacking,-34.11923,151.22667,2009-12-07 09:14:00,100,20
PHB20091206,Port Hacking,-34.11923,151.22667,2009-12-07 09:14:00,100,40
PHB20091110,Port Hacking,-34.11923,151.22667,2009-11-11 09:45:00,100,0
PHB20091110,Port Hacking,-34.11923,151.22667,2009-11-11 09:45:00,100,60
ROT20100315,Rottnest Island,-32,115.41667,2010-03-15 10:00:00,50,0
ROT20100315,Rottnest Island,-32,115.41667,2010-03-15 10:00:00,50,49
KAI20101213,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00,110,0
KAI20101213,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00,110,105
