NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
ESP20111130,7,7.049,(null),1025.4092,18.906,(null),4.733236,(null),35.4357,0.0959,0.1539
ESP20111130,9,9.063,(null),1025.4185,18.9049,(null),4.733233,(null),35.4359,0.1024,0.1542
ESP20111130,13,13.092,(null),1025.4357,18.9045,(null),4.733309,(null),35.4353,0.1165,0.1505
ESP20120309,40,40.285,(null),1025.2086,20.8333,(null),4.958841,(null),35.6487,0.2005,0.3117
ESP20120309,42,42.299,(null),1025.217,20.8345,(null),4.959076,(null),35.6488,0.2034,0.3111
ESP20120309,43,43.306,(null),1025.2213,20.833,(null),4.958904,(null),35.6484,0.2064,0.3166
ESP20120309,50,50.357,(null),1025.252,20.8345,(null),4.959443,(null),35.6489,0.1983,0.3798
ESP20120309,51,51.364,(null),1025.2579,20.8352,(null),4.95975,(null),35.65,0.2058,0.4475
ESP20111130,38,38.27,(null),1025.5791,18.784,(null),4.722674,(null),35.4398,0.1768,0.1483
ESP20111130,41,41.292,(null),1025.5977,18.771,(null),4.721685,(null),35.4415,0.1806,0.1426
ESP20120229,12,12.085,(null),1025.0444,20.8709,(null),4.956409,(null),35.6075,0.1675,0.229
ESP20120229,15,15.106,(null),1025.0518,20.876,(null),4.956308,(null),35.6014,0.1829,0.2226
ESP20120229,18,18.127,(null),1025.063,20.8778,(null),4.956412,(null),35.5997,0.1946,0.2119
ESP20120229,37,37.263,(null),1025.1458,20.8739,(null),4.956667,(null),35.5982,0.1972,0.2213
ESP20120229,42,42.299,(null),1025.17,20.8666,(null),4.956203,(null),35.5988,0.191,0.2219
ESP20120309,10,10.07,(null),1025.0778,20.8359,(null),4.958002,(null),35.6505,0.1679,0.2769
ESP20120309,11,11.077,(null),1025.0822,20.8355,(null),4.958009,(null),35.6505,0.1718,0.2885
