SAMPLE,APHIA_ID,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,CELL_PER_LITRE,BIOVOLUME_UM3_PER_L
5,146222,Flagellate <10 µm round,Flagellate,(null),(null),158020,10342376.08
5,109392,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),38,28014.61
5,109476,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,75,7775435.25
5,149230,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,19,179070.63
5,109528,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,301,1063820.91
5,17329,Prasinophytes,Flagellate,(null),(null),18812,4924965.92
5,110245,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,19,726569.13
5,115057,Prymnesiophytes,Flagellate,(null),(null),15050,7880154.92
5,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,226,45200
5,149186,Synedra spp.,Pennate diatom,Synedra,spp.,470,11280000
5,149092,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,169,84500
5,148912,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,38,119380.42
5,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),30099,9077636.87
5,146203,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),470,2953094.6
6,149200,Amphora spp.,Pennate diatom,Amphora,spp.,19,1392771.57
6,149619,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,135,5608916.25
6,148985,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,19,111919.14
6,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,39,14702.64
6,146230,Chrysophyceae,Flagellate,(null),(null),58,45553.06
6,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),14479,11371770.4
6,146537,Cyanobacteria cluster,Cyanobacteria,(null),(null),193,808435.83
6,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,193,38600
6,109462,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,39,285884.69
6,17657,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,116,936115.28
6,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),39817,23454129.19
6,146222,Flagellate <10 µm round,Flagellate,(null),(null),91699,6001680.45
6,149112,Guinardia delicatula,Centric diatom,Guinardia,delicatula,77,613222.66
6,109476,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,58,6013003.26
6,232069,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,1207,25595319.13
6,149031,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),155,319687.5
6,17329,Prasinophytes,Flagellate,(null),(null),21718,5685754.3
6,109566,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,20,40945.39
6,115057,Prymnesiophytes,Flagellate,(null),(null),6033,3158868.75
6,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,290,58000
6,573572,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,19,2101095.39
6,149115,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,39,1764316.94
6,149073,Skeletonema spp.,Centric diatom,Skeletonema,spp.,116,47618.13
6,149092,Thalassionema spp.,Pennate diatom,Thalassionema,spp.,174,93960
6,149092,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,77,38500
6,148912,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,97,304734.23
6,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),6033,1819508.4
6,146203,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),154,967609.72
7,149118,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,8127,50042135.78
7,149619,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,169,7021532.19
7,148985,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,296,1743582.45
7,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,762,287266.99
7,146230,Chrysophyceae,Flagellate,(null),(null),42,32986.7
7,196803,Climacodium spp.,Centric diatom,Climacodium,spp.,85,28793065.05
7,156632,Coscinodiscus wailesii,Centric diatom,Coscinodiscus,wailesii,17,46143673.92
7,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),7407,5817439.28
7,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,169,33800
7,109612,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,85,3454767.25
7,149130,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,127,224427.34
7,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),46561,27426669.75
7,146222,Flagellate <10 µm round,Flagellate,(null),(null),91005,5956258.29
7,149132,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,296,58119415
7,149113,Guinardia striata,Centric diatom,Guinardia,striata,127,10772512.11
7,163248,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,127,1832823.24
7,149106,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,212,902245.01
7,149230,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,847,7982780.19
7,149145,Meuniera membranacea,Pennate diatom,Meuniera,meuniera,85,2002763.63
7,149031,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),85,175312.5
7,149055,Paralia sulcata,Centric diatom,Paralia,sulcata,635,73312929.64
7,115088,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,8466,957481.23
7,149181,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,169,1014000
7,17329,Prasinophytes,Flagellate,(null),(null),9524,2493375.26
7,109566,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,85,174017.91
7,110245,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,169,6462641.23
7,115057,Prymnesiophytes,Flagellate,(null),(null),19048,9973501.05
7,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,466,93200
7,149152,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,169,50700
7,573572,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,42,4644526.66
7,494057,Tripos spp.,Dinoflagellate,Tripos,spp.,339,20340000
7,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),2116,638170.03
8,149139,Asterionellopsis glacialis,Pennate diatom,Asterionellopsis,glacialis,241,1547843.72
8,149619,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,161,6689151.97
8,148985,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,161,948367.48
8,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,80,30159.26
8,146230,Chrysophyceae,Flagellate,(null),(null),4020,3157297.95
8,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),21441,16839707.8
8,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,201,40200
8,149310,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,121,13827598.57
8,149647,Detonula pumila,Centric diatom,Detonula,pumila,161,7681776.6
8,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),93802,55253892.22
8,146222,Flagellate <10 µm round,Flagellate,(null),(null),192965,12629519.05
8,149112,Guinardia delicatula,Centric diatom,Guinardia,delicatula,844,6721557.47
8,109476,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,563,58367600.61
8,163248,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,80,1154534.33
8,149135,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,563,19898045.66
8,149106,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,1608,6843443.31
