NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
YON20120424,Yongala,-19.30847,147.61842,2012-04-24 10:50:00,27.099993290752,0.394413133,0.291625798
YON20120604,Yongala,-19.30847,147.61842,2012-06-04 10:30:00,24.079993358254,0.313312277,0.308754057
KAI20100721,Kangaroo Island,-35.83217,136.44733,2010-07-22 07:00:00,15.3977547,0.41317,0.529671311
KAI20100215,Kangaroo Island,-35.83217,136.44733,2010-02-16 06:30:00,19.9731306,0.35392,0.190818205
ESP20120612,Esperance,-33.93333,121.85,2012-06-12 09:24:00,18.474993483536,0.58432431,(null)
YON20121219,Yongala,-19.30847,147.61842,2012-12-19 10:20:00,27.819993274659,0.642785607,0.361330301
YON20120918,Yongala,-19.30847,147.61842,2012-09-18 11:00:00,23.849993363395,0.305190653,0.182117045
MAI20121017,Maria Island,-42.59667,148.23333,2012-10-18 10:52:00,12.354993620329,0.948975652,0.933449268
NIN20101108,Ningaloo,-21.99,113.779,2010-11-08 15:00:00,25.524993325956,0.243266271,0.149413615
NIN20120226,Ningaloo,-21.99,113.779,2012-02-26 09:54:00,27.169993289188,0.23006,0.195069328
ESP20091216,Esperance,-33.93333,121.85,2009-12-16 09:45:00,18.514993482642,0.18047038,(null)
YON20120112,Yongala,-19.30847,147.61842,2012-01-12 11:30:00,29.199993243814,0.631757358,0.351153225
MAI20100615,Maria Island,-42.59667,148.23333,2010-06-15 11:10:00,13.709993590042,0.541196704,0.67979455
YON20110720,Yongala,-19.30847,147.61842,2011-07-20 11:37:00,21.919993406534,0.225882888,0.224370465
ROT20091222,Rottnest Island,-32,115.41667,2009-12-22 10:00:00,20.822493431065,0.235682932,0.183249399
ESP20100322,Esperance,-33.93333,121.85,2010-03-22 09:40:00,19.379993463308,0.563819926,(null)
MAI20100330,Maria Island,-42.59667,148.23333,2010-03-30 11:40:00,18.004993494041,0.599735218,0.493284494
PHB20091018,Port Hacking,-34.11923,151.22667,2009-10-19 09:55:00,18.819993475825,0.661561731,0.67306453
KAI20100112,Kangaroo Island,-35.83217,136.44733,2010-01-13 07:00:00,19.459993461519,0.253330516,0.165260956
NSI20111116,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00,23.764993365295,0.290513118,0.553032279
YON20111027,Yongala,-19.30847,147.61842,2011-10-27 13:44:00,25.179993333668,0.304526952,0.141118869
YON20110323,Yongala,-19.30847,147.61842,2011-03-23 10:49:00,28.649993256107,0.590297995,1.362596512
PHB20120311,Port Hacking,-34.11923,151.22667,2012-03-12 09:00:00,21.319993419945,0.568436992,0.33985737
DAR20111005,Darwin,-12.4,130.76805,2011-10-05 09:31:00,27.869993273541,1.715657804,(null)
MAI20120119,Maria Island,-42.59667,148.23333,2012-01-19 12:00:00,18.284993487783,0.390670671,0.364951015
NSI20101215,North Stradbroke,-27.345,153.562,2010-12-16 08:30:00,25.929993316904,0.290513118,0.343416125
NSI20090527,North Stradbroke,-27.345,153.562,2009-05-27 12:03:00,22.609993391111,0.461893838,0.729317665
PHB20130514,Port Hacking,-34.11923,151.22667,2013-05-15 09:40:00,23.269993376359,0.594364293,0.942878366
NIN20130509,Ningaloo,-21.99,113.779,2013-05-09 10:20:00,27.734993276559,0.353223638,0.261261791
KAI20130827,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00,15.829993542656,0.299792485,0.331862599
MAI20131117,Maria Island,-42.59667,148.23333,2013-11-18 10:50:00,14.314993576519,0.659520864,0.688629508
MAI20131217,Maria Island,-42.59667,148.23333,2013-12-17 11:05:00,15.359993553162,0.643178316,0.452616572
MAI20140205,Maria Island,-42.59667,148.23333,2014-02-05 11:05:00,16.924993518181,0.390670671,0.383079082
NSI20130806,North Stradbroke,-27.345,153.562,2013-08-06 10:15:00,21.864993407764,0.384004796,0.329332829
DAR20130617_08:00,Darwin,-12.4,130.76805,2013-06-17 17:30:00,27.204993288405,2.217683076,2.460482836
YON20130611,Yongala,-19.30847,147.61842,2013-06-11 13:34:00,23.799993364513,0.313312277,0.361990392
ROT20130712,Rottnest Island,-32,115.41667,2013-07-12 12:35:00,20.129993446544,0.472122746,0.281251132
NSI20140213,North Stradbroke,-27.345,153.562,2014-02-13 10:20:00,25.629993323609,0.256112378,0.140393093
NSI20140306,North Stradbroke,-27.345,153.562,2014-03-06 10:15:00,25.629993323609,0.284832369,0.154060483
YON20131114,Yongala,-19.30847,147.61842,2013-11-14 10:32:00,26.729993299022,0.304526952,0.299702048
ROT20131122,Rottnest Island,-32,115.41667,2013-11-22 10:26:00,20.567493436765,0.211517851,0.178406239
MAI20140619,Maria Island,-42.59667,148.23333,2014-06-19 11:30:00,14.359993575513,0.4789609,(null)
PHB20140824,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00,18.35064073,1.236052153,0.66032505
MAI20140318,Maria Island,-42.59667,148.23333,2014-03-19 10:55:00,17.69499350097,0.599735218,0.307454437
ROT20140902,Rottnest Island,-32,115.41667,2014-09-02 11:55:00,19.867493452411,0.326668506,0.222873375
DAR20140906_06:30,Darwin,-12.4,130.76805,2014-09-06 16:00:00,25.76999332048,2.061638458,3.501465082
NSI20170117,North Stradbroke,-27.345,153.562,2017-01-17 10:30:00,27.04324249,0.256112378,0.487327963
NSI20141223,North Stradbroke,-27.345,153.562,2014-12-23 10:35:00,25.999993315339,0.20286425,0.117700011
NSI20150512,North Stradbroke,-27.345,153.562,2015-05-12 10:15:00,24.529993348196,0.370330558,0.472878039
