SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
3101,Rottnest Island,-32,115.41667,2013-02-21 12:55:00
3293,North Stradbroke,-27.345,153.562,2013-10-16 10:40:00
5003,Yongala,-19.30847,147.61842,2013-10-15 11:40:00
5459,North Stradbroke,-27.345,153.562,2014-05-07 10:25:00
5501,Darwin,-12.4,130.76805,2014-04-04 08:03:00
5526,Maria Island,-42.59667,148.23333,2014-06-19 11:30:00
5529,Maria Island,-42.59667,148.23333,2014-07-03 11:30:00
5624,Kangaroo Island,-35.83217,136.44733,2014-01-22 15:15:00
5845,Rottnest Island,-32,115.41667,2014-06-24 13:16:00
1528,Port Hacking,-34.11923,151.22667,2012-08-22 09:19:00
5073,Yongala,-19.30847,147.61842,2014-03-17 14:07:00
6966,North Stradbroke,-27.345,153.562,2014-12-23 10:35:00
7047,Darwin,-12.4,130.76805,2014-12-01 07:18:00
7078,Port Hacking,-34.11923,151.22667,2015-01-22 09:48:00
7247,Darwin,-12.4,130.76805,2015-02-03 10:00:00
1728,Rottnest Island,-32,115.41667,2012-05-04 13:00:00
1736,Rottnest Island,-32,115.41667,2012-08-24 11:06:00
1086,North Stradbroke,-27.345,153.562,2009-02-18 10:30:00
1087,North Stradbroke,-27.345,153.562,2009-03-18 10:30:00
1089,North Stradbroke,-27.345,153.562,2009-05-27 12:03:00
1218,Port Hacking,-34.11923,151.22667,2010-06-09 10:53:00
1138,Port Hacking,-34.11923,151.22667,2009-09-25 08:45:00
1389,Rottnest Island,-32,115.41667,2011-06-22 10:00:00
1095,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00
1351,Port Hacking,-34.11923,151.22667,2011-08-29 10:03:00
1254,Port Hacking,-34.11923,151.22667,2010-11-11 09:10:00
1349,Port Hacking,-34.11923,151.22667,2011-06-20 09:34:00
1364,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00
1132,Yongala,-19.30847,147.61842,2009-12-15 11:25:00
1247,Yongala,-19.30847,147.61842,2010-07-29 11:22:00
1383,Ningaloo,-21.99,113.779,2011-07-06 11:04:00
1224,Rottnest Island,-32,115.41667,2010-04-16 08:30:00
1344,Yongala,-19.30847,147.61842,2011-04-14 11:27:00
1100,Maria Island,-42.59667,148.23333,2009-04-21 11:45:00
1116,Maria Island,-42.59667,148.23333,2009-11-11 11:30:00
1411,Port Hacking,-34.11923,151.22667,2012-02-13 10:00:00
1345,Yongala,-19.30847,147.61842,2011-05-27 10:50:00
1329,Darwin,-12.4,130.76805,2011-06-27 13:48:00
1128,Esperance,-33.93333,121.85,2009-12-16 09:45:00
1311,Kangaroo Island,-35.83217,136.44733,2011-03-20 09:40:00
1366,Kangaroo Island,-35.83217,136.44733,2011-07-19 09:00:00
1594,Port Hacking,-34.11923,151.22667,2010-02-19 09:05:00
1123,Esperance,-33.93333,121.85,2009-06-23 09:20:00
1293,Yongala,-19.30847,147.61842,2010-11-01 11:45:00
1102,Port Hacking,-34.11923,151.22667,2009-07-15 09:15:00
1092,Port Hacking,-34.11923,151.22667,2009-05-19 09:25:00
8765,North Stradbroke,-27.345,153.562,2016-06-23 10:30:00
9332,Yongala,-19.30847,147.61842,2016-09-27 10:33:00
7524,Yongala,-19.30847,147.61842,2014-12-09 10:04:00
7732,Rottnest Island,-32,115.41667,2015-05-07 09:36:00
7554,Darwin,-12.4,130.76805,2015-05-06 08:24:00
7993,Port Hacking,-34.11923,151.22667,2015-08-19 10:03:00
8489,Maria Island,-42.59667,148.23333,2016-04-28 10:47:00
8444,Maria Island,-42.59667,148.23333,2016-03-04 10:15:00
8520,North Stradbroke,-27.345,153.562,2016-04-12 10:45:00
8842,Rottnest Island,-32,115.41667,2016-05-27 09:30:00
7910,North Stradbroke,-27.345,153.562,2015-10-27 10:50:00
8473,Maria Island,-42.59667,148.23333,2016-03-22 10:11:00
8827,Port Hacking,-34.11923,151.22667,2016-02-02 10:52:00
8991,Maria Island,-42.59667,148.23333,2016-08-31 10:26:00
9038,Maria Island,-42.59667,148.23333,2016-09-27 10:10:00
9363,North Stradbroke,-27.345,153.562,2016-12-15 10:15:00
9378,North Stradbroke,-27.345,153.562,2017-01-17 10:30:00
8197,Kangaroo Island,-35.83217,136.44733,2015-11-17 09:50:00
8323,Rottnest Island,-32,115.41667,2015-10-22 09:36:00
8277,Port Hacking,-34.11923,151.22667,2015-11-16 09:33:00
7676,Yongala,-19.30847,147.61842,2015-06-18 10:55:00
9487,North Stradbroke,-27.345,153.562,2017-02-17 10:30:00
9622,North Stradbroke,-27.345,153.562,2017-04-24 11:00:00
9990,Port Hacking,-34.11923,151.22667,2017-07-17 09:42:00
10149,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00
10409,North Stradbroke,-27.345,153.562,2017-11-16 10:30:00
10729,Yongala,-19.30847,147.61842,2018-02-20 10:30:00
9472,Yongala,-19.30847,147.61842,2016-10-12 10:26:00
9822,Port Hacking,-34.11923,151.22667,2017-04-19 10:00:00
9853,Maria Island,-42.59667,148.23333,2017-06-27 09:25:00
10053,Rottnest Island,-32,115.41667,2017-06-26 09:46:00
10286,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00
10571,North Stradbroke,-27.345,153.562,2018-04-17 10:15:00
10876,Maria Island,-42.59667,148.23333,2018-03-16 08:45:00
10925,Rottnest Island,-32,115.41667,2018-05-11 09:21:00
10939,Yongala,-19.30847,147.61842,2018-03-29 10:27:00
10363,Rottnest Island,-32,115.41667,2017-11-03 09:25:00
11066,Rottnest Island,-32,115.41667,2018-06-20 09:56:00
11081,Port Hacking,-34.11923,151.22667,2018-07-25 09:33:00
11309,Rottnest Island,-32,115.41667,2018-10-24 09:18:00
11394,North Stradbroke,-27.345,153.562,2018-09-13 10:20:00
11409,North Stradbroke,-27.345,153.562,2018-10-23 10:30:00
11776,Darwin,-12.4,130.76805,2019-05-30 08:39:00
11010,Maria Island,-42.59667,148.23333,2018-06-28 09:00:00
11186,Yongala,-19.30847,147.61842,2018-07-20 10:56:00
11238,Maria Island,-42.59667,148.23333,2018-09-20 09:50:00
11654,North Stradbroke,-27.345,153.562,2019-01-18 10:40:00
11910,Rottnest Island,-32,115.41667,2019-05-07 09:40:00
12024,Kangaroo Island,-35.83217,136.44733,2019-05-14 15:35:00
12085,Maria Island,-42.59667,148.23333,2019-07-31 10:20:00
1384,Ningaloo,-21.99,113.779,2011-11-07 10:00:00
1342,Ningaloo,-21.99,113.779,2011-02-09 10:15:00
