SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
5871,Yongala,-19.30847,147.61842,2014-05-01 11:25:00
5927,Yongala,-19.30847,147.61842,2014-08-20 11:15:00
5058,Yongala,-19.30847,147.61842,2014-02-20 10:48:00
5520,North Stradbroke,-27.345,153.562,2014-07-25 10:35:00
6692,Maria Island,-42.59667,148.23333,2014-09-16 09:20:00
6786,Maria Island,-42.59667,148.23333,2014-10-30 09:27:00
7009,North Stradbroke,-27.345,153.562,2015-01-19 10:35:00
7320,Rottnest Island,-32,115.41667,2015-02-24 10:17:00
7351,Port Hacking,-34.11923,151.22667,2015-02-26 09:37:00
1515,North Stradbroke,-27.345,153.562,2012-06-20 10:20:00
1496,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00
1474,Yongala,-19.30847,147.61842,2012-06-04 10:30:00
1472,Yongala,-19.30847,147.61842,2012-06-15 10:41:00
146,Esperance,-33.93333,121.85,2010-10-13 08:15:00
150,Rottnest Island,-32,115.41667,2011-10-20 12:00:00
164,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00
167,Rottnest Island,-32,115.41667,2010-05-20 10:05:00
142,Yongala,-19.30847,147.61842,2009-11-23 11:45:00
157,Yongala,-19.30847,147.61842,2011-09-08 11:00:00
175,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00
179,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00
183,Port Hacking,-34.11923,151.22667,2010-07-02 11:35:00
195,Port Hacking,-34.11923,151.22667,2011-03-30 09:33:00
198,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00
80,Yongala,-19.30847,147.61842,2012-02-08 10:49:00
98,Rottnest Island,-32,115.41667,2010-06-17 10:05:00
3,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00
11,Maria Island,-42.59667,148.23333,2009-11-11 11:30:00
12,North Stradbroke,-27.345,153.562,2009-11-16 08:20:00
15,Maria Island,-42.59667,148.23333,2010-05-27 11:30:00
19,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00
22,Darwin,-12.4,130.76805,2011-06-27 13:48:00
25,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00
42,Port Hacking,-34.11923,151.22667,2011-10-19 09:31:00
48,Kangaroo Island,-35.83217,136.44733,2010-03-16 06:00:00
55,Rottnest Island,-32,115.41667,2012-03-29 10:03:00
61,Port Hacking,-34.11923,151.22667,2009-07-15 09:15:00
63,Port Hacking,-34.11923,151.22667,2009-05-19 09:25:00
7722,Yongala,-19.30847,147.61842,2015-02-24 10:40:00
7892,Maria Island,-42.59667,148.23333,2015-11-19 10:45:00
8030,Yongala,-19.30847,147.61842,2015-08-04 11:45:00
7976,Maria Island,-42.59667,148.23333,2015-10-01 11:05:00
7991,Port Hacking,-34.11923,151.22667,2015-06-30 11:11:00
8006,Port Hacking,-34.11923,151.22667,2015-08-19 10:03:00
8503,Maria Island,-42.59667,148.23333,2016-04-28 10:47:00
8442,Maria Island,-42.59667,148.23333,2016-02-10 10:45:00
8613,Rottnest Island,-32,115.41667,2016-03-24 09:47:00
7923,North Stradbroke,-27.345,153.562,2015-10-27 10:50:00
9005,Maria Island,-42.59667,148.23333,2016-08-31 10:26:00
9052,Maria Island,-42.59667,148.23333,2016-09-27 10:10:00
9187,Rottnest Island,-32,115.41667,2016-10-24 09:35:00
9269,North Stradbroke,-27.345,153.562,2016-10-20 09:40:00
9324,Port Hacking,-34.11923,151.22667,2016-08-30 09:20:00
7552,Yongala,-19.30847,147.61842,2015-01-19 11:25:00
7644,Yongala,-19.30847,147.61842,2015-03-24 15:15:00
