NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A
NRSKAI20081019,Kangaroo Island,-35.83217,136.44733,2008-10-19 11:15:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
NRSKAI20081211,Kangaroo Island,-35.83217,136.44733,2008-12-12 06:45:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
NRSKAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,(null),0.008,0,0,0.024,(null),0,0,0,0,0.011,0.013,0.005,0,0.012,0.002,0.024,0,0,0.004,0,0,0.004,0,0,0.034,0,0,0,0,0.037,0.037,0.009,0.156,0.165,0,0,0,0,(null),(null),0.005,0
NRSKAI20091115,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00,(null),0.016,0,0.023,0,(null),0,0,0,0,0,0.05,0,0,0,0,0.008,0,0,0.004,0,0,0,0,0,0.008,0,0,0,0,0.01,0.01,0,0.098,0.098,0,0,0,0,(null),(null),0,0
NRSKAI20091215,Kangaroo Island,-35.83217,136.44733,2009-12-16 07:15:00,(null),0.01,0,0.021,0,(null),0,0,0.017,0,0.011,0.009,0.003,0,0.007,0.002,0.039,0,0,0.006,0,0,0.002,0,0.001,0.015,0,0,0,0,0.041,0.041,0.009,0.214,0.223,0,0,0,0,(null),(null),0.006,0
NRSKAI20120116,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00,(null),0.011,0,0.019,0.002,(null),0,0,0,0,0.014,0.013,0.002,0,0.006,0.002,0.025,0.006,0,0.005,0,0,0.003,0,0,0.078,0,0,0,0,0.026,0.026,0.052,0.142,0.194,0,0,0,0,(null),(null),0.017,0
NRSESP20111130,Esperance,-33.93333,121.85,2011-11-30 14:38:00,(null),0.021,0,0.028,0,(null),0.008,0,0,0,0.021,0.036,0.004,0,0.014,0.005,0.054,0.008,0,0.018,0,0.003,0.003,0,0.005,0.035,0,0,0,0,0.045,0.045,0.008,0.24,0.248,0,0,0,0,(null),(null),0.013,0
NRSNSI20100916,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00,(null),0.036,0,0,0.073,(null),0,0,0,0,0.025,0.119,0.004,0,0.007,0,0.045,0,0,0.017,0,0,0,0,0.009,0.017,0,0,0,0,0.033,0.033,0,0.319,0.319,0,0,0,0,(null),(null),0.01,0
NRSPHB20120917,Port Hacking,-34.11923,151.22667,2012-09-18 09:38:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
NRSPHB20121009,Port Hacking,-34.11923,151.22667,2012-10-10 09:44:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
NRSPHB20130319,Port Hacking,-34.11923,151.22667,2013-03-20 09:27:00,(null),0.045,0,0.038,0,(null),0.009,0,0.005,0,0.034,0.041,0.003,0,0.006,0.002,0.048,0,0,0.012,0,0,0,0,0,0.042,0,0,0,0.011,0.035,0.046,0.041,0.257,0.298,0,0,0,0,(null),(null),0.016,0
NRSROT20150128,Rottnest Island,-32,115.41667,2015-01-28 10:15:00,(null),0.02,0,0.025,0,(null),0.008,0,0,0,0.015,0.032,0.003,0,0.008,0.004,0.046,0.003,0,0.029,0,0.004,0.003,0,0.007,0.02,0.002,0,0,0,0.023,0.023,0.005,0.178,0.183,0,0,0,0,(null),(null),0.008,0
NRSMAI20150312,Maria Island,-42.59667,148.23333,2015-03-13 09:33:00,(null),0.038,0,0.099,0,(null),0.04,0,0.011,0,0.025,0.053,0.019,0,0.045,0.012,0.067,0.005,0,0.018,0,0.002,0.072,0,0.002,0.036,0.003,0,0,0,0.156,0.156,0.012,0.682,0.694,0,0,0,0,(null),(null),0.023,0
NRSMAI20150224,Maria Island,-42.59667,148.23333,2015-02-25 10:20:00,(null),0.033,0,0.052,0,(null),0.016,0,0.011,0,0.022,0.042,0.006,0,0.015,0.003,0.065,0.003,0,0.017,0,0,0.014,0,0.003,0.007,0,0,0,0,0.062,0.062,0,0.343,0.343,0,0,0,0,(null),(null),0.01,0
NRSYON20141014,Yongala,-19.30847,147.61842,2014-10-14 12:02:00,(null),0.04,0,0.081,0,(null),0.055,0,0.005,0,0.045,0.165,0.002,0,0.002,0.003,0.054,0.004,0,0.045,0,0,0,0,0.009,0.064,0,0,0,0.006,0.014,0.02,0.058,0.539,0.597,0,0,0,0,(null),(null),0.032,0
NRSMAI20090601,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00,(null),0.015,0,0.037,0.02,(null),0,0,0.018,0,0.023,0.04,0.017,0,0.035,0.01,0.051,0,0,0.012,0,0,0.023,0,0,0.007,0,0,0,0,0.121,0.121,0,0.39,0.39,0,0,0,0,(null),(null),0.014,0
NRSMAI20091013,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00,(null),0.1,0,0.13,0.043,(null),0.019,0.131,0.02,0.089,0.014,0.507,0.011,0,0.031,0.012,0.05,0,0,0.08,0,0.003,0.013,0,0.005,0.012,0,0,0,0,0.08,0.08,0,1.477,1.477,0,0,0.151,0,(null),(null),0.039,0
NRSMAI20101001,Maria Island,-42.59667,148.23333,2010-10-01 12:40:00,(null),0.007,0,0.023,0,(null),0,0,0.006,0,0.01,0.055,0.006,0,0.018,0.004,0.031,0,0,0.016,0,0,0.007,0,0,0.005,0,0,0,0,0.052,0.052,0,0.23,0.23,0,0,0,0,(null),(null),0.005,0
NRSMAI20120119,Maria Island,-42.59667,148.23333,2012-01-19 12:00:00,(null),0.06,0,0.095,0,(null),0.053,0,0.036,0,0.028,0.124,0.02,0,0.049,0.014,0.133,0,0,0.051,0,0.007,0.035,0,0.004,0.026,0,0,0,0,0.193,0.193,0,0.775,0.775,0,0,0,0,(null),(null),0.033,0
NRSMAI20120222,Maria Island,-42.59667,148.23333,2012-02-22 11:00:00,(null),0.073,0,0.09,0.014,(null),0,0,0.007,0,0.047,0.094,0.032,0,0.084,0.021,0.096,0,0,0.028,0,0.008,0.033,0,0,0.076,0,0,0,0,0.29,0.29,0.031,0.802,0.833,0,0,0,0,(null),(null),0.044,0
NRSMAI20121002,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00,(null),0.025,0,0.052,0,(null),0.084,0,0.011,0,0.012,0.097,0.011,0,0.019,0.006,0.036,0,0,0.017,0,0,0.009,0,0,0,0,0,0,0,0.052,0.052,0,0.39,0.39,0,0,0,0,(null),(null),0.008,0
NRSMAI20130424,Maria Island,-42.59667,148.23333,2013-04-24 10:50:00,(null),0.041,0,0.067,0,(null),0.011,0,0.017,0,0.025,0.038,0.012,0,0.028,0.012,0.081,0.005,0,0.018,0,0.003,0.031,0,0,0.012,0,0,0,0,0.11,0.11,0.005,0.503,0.508,0,0,0,0,(null),(null),0.02,0
NRSNSI20130806,North Stradbroke,-27.345,153.562,2013-08-06 10:15:00,(null),0.059,0,0.046,0,(null),0.046,0.039,0,0,0.013,0.098,0,0,0,0,0.024,0,0,0.011,0,0,0,0,0,0.004,0,0,0,0,0.006,0.006,0,0.248,0.248,0,0,0,0,(null),(null),0.006,0
NRSROT20110324,Rottnest Island,-32,115.41667,2011-03-24 09:35:00,(null),0.051,0,0.048,0,(null),0.107,0.052,0.005,0,0.02,0.09,0.002,0,0.005,0.002,0.058,0,0,0.018,0,0,0.004,0,0,0.033,0,0,0,0,0.021,0.021,0.016,0.198,0.214,0,0,0,0,(null),(null),0.016,0
NRSROT20130321,Rottnest Island,-32,115.41667,2013-03-21 11:34:00,(null),0.028,0,0.031,0,(null),0.013,0,0.005,0,0.007,0.059,0.002,0,0.003,0,0.035,0,0,0.018,0,0.002,0.004,0,0.006,0.02,0,0,0,0,0.021,0.021,0.008,0.241,0.249,0,0,0,0,(null),(null),0.008,0
NRSROT20130517,Rottnest Island,-32,115.41667,2013-05-17 10:00:00,(null),0.042,0,0.064,0,(null),0.015,0,0.005,0,0.02,0.09,0.014,0,0.032,0.014,0.054,0.012,0,0.02,0,0.003,0.016,0,0.003,0.038,0.005,0,0,0,0.115,0.115,0.014,0.548,0.562,0,0,0,0,(null),(null),0.022,0
NRSROT20120130,Rottnest Island,-32,115.41667,2012-01-30 11:09:00,(null),0.023,0,0.023,0.003,(null),0,0,0.005,0,0.02,0.032,0.004,0,0.009,0,0.047,0,0,0.013,0,0,0,0,0.008,0.054,0,0,0,0,0.044,0.044,0.035,0.214,0.249,0,0,0,0,(null),(null),0.012,0
NRSROT20120504,Rottnest Island,-32,115.41667,2012-05-04 13:00:00,(null),0.052,0,0.055,0.008,(null),0,0,0.005,0,0.042,0.071,0.01,0,0.018,0.006,0.114,0.01,0,0.02,0,0,0.013,0,0,0.038,0,0,0,0,0.081,0.081,0.02,0.46,0.48,0,0,0,0,(null),(null),0.025,0
NRSNSI20130418,North Stradbroke,-27.345,153.562,2013-04-18 10:05:00,(null),0.008,0,0.015,0,(null),0,0,0,0,0.015,0.007,0,0,0,0,0.026,0,0,0.004,0,0,0,0,0,0.032,0,0,0,0.004,0.011,0.015,0.037,0.081,0.118,0,0,0,0,(null),(null),0.008,0
NRSYON20140317,Yongala,-19.30847,147.61842,2014-03-17 14:07:00,(null),0.029,0,0.028,0,(null),0.017,0,0,0,0.01,0.038,0.004,0,0.007,0.002,0.05,0.003,0,0.014,0,0.001,0.002,0,0,0.095,0,0,0,0,0.032,0.032,0,0.434,0.434,0,0,0,0,(null),(null),0.036,0
NRSYON20140501,Yongala,-19.30847,147.61842,2014-05-01 11:25:00,(null),0.015,0,0.019,0,(null),0.005,0,0,0,0.013,0.02,0,0,0,0,0.044,0.005,0,0.015,0,0,0,0,0.003,0.079,0,0,0,0.003,0.011,0.014,0.029,0.226,0.255,0,0,0,0,(null),(null),0.021,0
NRSYON20140527,Yongala,-19.30847,147.61842,2014-05-27 12:12:00,(null),0.014,0,0.018,0,(null),0.008,0,0,0,0.007,0.021,0.003,0,0.004,0.002,0.025,0.003,0,0.008,0,0,0,0,0,0.099,0,0,0,0.004,0.016,0.02,0.038,0.266,0.304,0,0,0,0,(null),(null),0.028,0
NRSYON20140624,Yongala,-19.30847,147.61842,2014-06-24 10:53:00,(null),0.01,0,0.014,0,(null),0.008,0,0,0,0.01,0.019,0,0,0,0.001,0.025,0,0,0.009,0,0,0,0,0,0.066,0,0,0,0,0.008,0.008,0.03,0.132,0.162,0,0,0,0,(null),(null),0.013,0
NRSDAR20121208_16:30,Darwin,-12.4,130.76805,2012-12-09 02:00:00,(null),0.025,0,0.04,0.015,(null),0,0,0,0,0,0.115,0,0,0.008,0.002,0.024,0.007,0,0.014,0,0,0.006,0,0,0.047,0,0,0,0,0.036,0.036,0,0.355,0.355,0,0,0,0,(null),(null),0.024,0
NRSDAR20121208_23:30,Darwin,-12.4,130.76805,2012-12-09 09:00:00,(null),0.024,0,0.053,0.021,(null),0,0,0.011,0,0,0.141,0.005,0,0.015,0.006,0.023,0.009,0,0.025,0,0,0.011,0,0,0.084,0,0,0,0,0.053,0.053,0,0.539,0.539,0,0,0,0,(null),(null),0.033,0
NRSDAR20121209_03:00,Darwin,-12.4,130.76805,2012-12-09 12:30:00,(null),0.031,0,0.074,0.021,(null),0,0,0,0,0,0.206,0.005,0,0.012,0.006,0.042,0.011,0,0.039,0,0,0.01,0,0,0.113,0,0,0,0,0.053,0.053,0,0.746,0.746,0,0,0,0,(null),(null),0.042,0
NRSDAR20130405,Darwin,-12.4,130.76805,2013-04-05 09:40:00,(null),0,0,0.042,0.025,(null),0,0,0,0,0,0.151,0,0,0,0,0,0,0,0.019,0,0,0.006,0,0,0.064,0,0,0,0,0,0,0,0.388,0.388,0,0,0,0,(null),(null),0.019,0
NRSYON20090909,Yongala,-19.30847,147.61842,2009-09-09 10:40:00,(null),0.014,0,0.017,0,(null),0,0,0,0,0.008,0.043,0,0,0,0.002,0.026,0,0,0.017,0,0,0,0,0,0.048,0,0,0,0,0,0,0.028,0.169,0.197,0,0,0,0,(null),(null),0.016,0
NRSYON20110323,Yongala,-19.30847,147.61842,2011-03-23 10:49:00,(null),0.069,0,0.066,0,(null),0.026,0,0.015,0,0.021,0.133,0.009,0,0.023,0.006,0.093,0.008,0,0.026,0,0,0.018,0,0,0.107,0,0,0,0,0.096,0.096,0.012,0.675,0.687,0,0,0,0,(null),(null),0.045,0
NRSYON20111213,Yongala,-19.30847,147.61842,2011-12-13 12:55:00,(null),0,0,0.016,0,(null),0.015,0,0,0,0.008,0.017,0,0,0,0.002,0.024,0,0,0.006,0,0,0,0,0,0.133,0,0,0,0,0,0,0.103,0.129,0.232,0,0,0,0,(null),(null),0.031,0
NRSYON20120402,Yongala,-19.30847,147.61842,2012-04-02 10:44:00,(null),0.024,0,0.025,0,(null),0.104,0,0,0,0.007,0.07,0.002,0,0.004,0.001,0.028,0,0,0.01,0,0,0,0,0,0.07,0,0,0,0,0.014,0.014,0,0.214,0.214,0,0,0,0,(null),(null),0.016,0
NRSYON20120918,Yongala,-19.30847,147.61842,2012-09-18 11:00:00,(null),0.013,0,0.027,0,(null),0.011,0,0,0,0.014,0.033,0,0,0,0.002,0.022,0,0,0.016,0,0,0,0,0.003,0.064,0,0,0,0.003,0.011,0.014,0.038,0.157,0.195,0,0,0,0,(null),(null),0.015,0
NRSYON20130220,Yongala,-19.30847,147.61842,2013-02-20 10:42:00,(null),0.009,0,0.013,0,(null),0.004,0,0,0,0.008,0.011,0,0,0,0.002,0.018,0.002,0,0.009,0,0,0,0,0,0.101,0,0,0,0.005,0.011,0.016,0.052,0.153,0.205,0,0,0,0,(null),(null),0.021,0
NRSYON20130719,Yongala,-19.30847,147.61842,2013-07-19 11:08:00,(null),0.007,0,0.017,0,(null),0.006,0,0,0,0.01,0.017,0,0,0,0,0.024,0,0,0.009,0,0,0,0,0,0.057,0,0,0,0,0.007,0.007,0,0.187,0.187,0,0,0,0,(null),(null),0.011,0
NRSNIN20120509,Ningaloo,-21.99,113.779,2012-05-09 10:50:00,(null),0.028,0,0.04,0,(null),0.01,0,0.013,0,0.016,0.042,0.006,0,0.012,0.003,0.045,0.003,0,0.013,0,0.004,0.01,0,0.005,0.08,0,0,0,0,0.065,0.065,0.063,0.405,0.468,0,0,0,0,(null),(null),0.027,0
NRSPHB20091018,Port Hacking,-34.11923,151.22667,2009-10-19 09:55:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
NRSPHB20100119,Port Hacking,-34.11923,151.22667,2010-01-20 09:20:00,(null),0.177,0,0.35,0,(null),0,0.116,0.054,0,0.068,0.769,0,0,0.013,0.004,0.097,0,0,0.113,0,0.002,0.023,0,0.009,0,0,0,0,0,0.038,0.038,0,1.843,1.843,0,0,0,0,(null),(null),0.047,0
NRSKAI20110123,Kangaroo Island,-35.83217,136.44733,2011-01-24 07:40:00,(null),0.016,0,0.023,0,(null),0,0,0.01,0,0.01,0.008,0,0,0.004,0,0.022,0,0,0.004,0,0,0,0,0,0.04,0,0,0,0.003,0.033,0.036,0.045,0.148,0.193,0,0,0,0,(null),(null),0.008,0
NRSKAI20111115,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00,(null),0.008,0,0.015,0,(null),0,0,0.004,0,0.007,0.024,0.001,0,0.002,0.001,0.014,0,0,0.009,0,0,0.005,0,0.006,0.028,0,0,0,0,0.016,0.016,0.014,0.113,0.127,0,0,0,0,(null),(null),0.008,0
NRSKAI20130506,Kangaroo Island,-35.83217,136.44733,2013-05-07 07:55:00,(null),0.032,0,0.04,0,(null),0.006,0.007,0,0,0.029,0.024,0.007,0,0.013,0.003,0.05,0,0,0.008,0,0.003,0.009,0,0.003,0.025,0,0,0,0.004,0.067,0.071,0.032,0.276,0.308,0,0,0,0,(null),(null),0.014,0
NRSESP20120229,Esperance,-33.93333,121.85,2012-02-29 10:00:00,(null),0.019,0,0.03,0,(null),0.03,0,0.007,0,0.024,0.043,0,0,0.008,0.003,0.06,0,0,0.019,0,0,0.007,0,0,0.025,0,0,0,0,0.039,0.039,0.011,0.277,0.288,0,0,0,0,(null),(null),0.01,0
NRSNSI20100711,North Stradbroke,-27.345,153.562,2010-07-12 08:45:00,(null),0.015,0,0,0,(null),0.066,0,0,0,0.013,0.057,0,0,0,0,0.026,0,0,0.007,0,0,0,0,0,0.01,0,0,0,0,0.014,0.014,0,0.167,0.167,0,0,0,0,(null),(null),0.006,0
NRSNSI20110119,North Stradbroke,-27.345,153.562,2011-01-19 10:00:00,(null),0.033,0,0.039,0,(null),0.025,0.032,0,0,0.023,0.104,0.008,0,0.013,0.003,0.049,0,0,0.011,0,0,0.004,0,0.007,0.039,0.009,0,0,0,0.065,0.065,0.034,0.369,0.403,0,0,0,0,(null),(null),0.018,0
NRSDAR20140906_00:30,Darwin,-12.4,130.76805,2014-09-06 10:00:00,(null),0.011,0,0.021,0,(null),0.013,0,0,0,0.006,0.063,0.003,0,0.01,0.003,0.025,0.007,0,0.015,0,0,0.004,0,0,0.067,0,0,0,0,0.028,0.028,0,0.293,0.293,0,0,0,0,(null),(null),0.021,0
NRSDAR20140906_09:30,Darwin,-12.4,130.76805,2014-09-06 19:00:00,(null),0.015,0,0.02,0,(null),0.015,0,0,0,0.005,0.059,0.003,0,0.008,0.003,0.019,0.007,0,0.01,0,0,0.004,0,0.004,0.084,0,0,0,0,0.023,0.023,0,0.265,0.265,0,0,0,0,(null),(null),0.022,0
NRSDAR20140906_03:30,Darwin,-12.4,130.76805,2014-09-06 13:00:00,(null),0.014,0,0.023,0,(null),0.015,0,0,0,0.006,0.058,0.003,0,0.009,0.004,0.02,0.007,0,0.015,0,0,0.004,0,0,0.082,0,0,0,0,0.027,0.027,0,0.306,0.306,0,0,0,0,(null),(null),0.02,0
NRSDAR20140906_06:30,Darwin,-12.4,130.76805,2014-09-06 16:00:00,(null),0.015,0,0.024,0,(null),0.014,0,0,0,0.006,0.063,0.005,0,0.01,0.005,0.024,0.005,0,0.018,0,0,0.008,0,0.005,0.105,0,0,0,0,0.043,0.043,0,0.36,0.36,0,0,0,0,(null),(null),0.029,0
NRSPHB20140427,Port Hacking,-34.11923,151.22667,2014-04-28 09:38:00,(null),0.044,0,0.057,0,(null),0.015,0,0.009,0,0.039,0.038,0.013,0,0.024,0.007,0.076,0.005,0,0.018,0,0,0.014,0,0,0.054,0.008,0,0,0.005,0.105,0.11,0.058,0.496,0.554,0,0,0,0,(null),(null),0.033,0
NRSPHB20140515,Port Hacking,-34.11923,151.22667,2014-05-16 09:35:00,(null),0.048,0,0.043,0,(null),0.008,0,0.005,0,0.048,0.022,0.008,0,0.014,0.004,0.071,0.003,0,0.015,0,0,0.006,0,0,0.037,0.005,0,0,0.007,0.066,0.073,0.037,0.331,0.368,0,0,0,0,(null),(null),0.02,0
NRSPHB20140612,Port Hacking,-34.11923,151.22667,2014-06-13 09:20:00,(null),0.117,0,0.11,0,(null),0.057,0.027,0.007,0,0.063,0.187,0.011,0,0.023,0.005,0.12,0.006,0,0.023,0,0,0.007,0,0,0.015,0.003,0,0,0,0.095,0.095,0.013,0.755,0.768,0,0,0,0,(null),(null),0.025,0
NRSPHB20140716,Port Hacking,-34.11923,151.22667,2014-07-16 10:00:00,(null),0.047,0,0.07,0,(null),0.008,0,0.011,0,0.055,0.029,0.01,0,0.019,0.004,0.075,0,0,0.012,0,0,0.022,0,0,0.03,0,0,0,0,0.103,0.103,0.014,0.501,0.515,0,0,0,0,(null),(null),0.023,0
NRSPHB20140824,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00,(null),0.043,0,0.077,0,(null),0.023,0,0.011,0,0.036,0.045,0.014,0,0.034,0.017,0.068,0,0,0.021,0,0.002,0.05,0,0.003,0.011,0,0,0,0,0.122,0.122,0,0.605,0.605,0,0,0,0,(null),(null),0.022,0
NRSPHB20091011,Port Hacking,-34.11923,151.22667,2009-10-12 09:28:00,(null),0.053,0,0.09,0,(null),0,0,0.045,0,0.033,0.078,0.006,0,0.013,0.006,0.094,0.008,0,0.042,0,0,0.047,0,0.007,0.007,0,0,0,0,0.056,0.056,0,0.622,0.622,0,0,0,0,(null),(null),0.027,0
NRSPHB20091206,Port Hacking,-34.11923,151.22667,2009-12-07 09:14:00,(null),0.012,0,0,0.027,(null),0,0,0.011,0,0.017,0.042,0.007,0,0.014,0.006,0.034,0.004,0,0.013,0,0.002,0.003,0,0.003,0.036,0.003,0,0,0,0.063,0.063,0,0.272,0.272,0,0,0,0,(null),(null),0.01,0
NRSPHB20100702,Port Hacking,-34.11923,151.22667,2010-07-02 11:35:00,(null),0.056,0,0.054,0,(null),0,0,0.008,0,0.052,0.074,0.011,0,0.023,0.007,0.103,0,0,0.019,0,0,0.015,0,0,0.006,0,0,0,0,0.09,0.09,0,0.489,0.489,0,0,0,0,(null),(null),0.017,0
NRSPHB20110420,Port Hacking,-34.11923,151.22667,2011-04-21 09:36:00,(null),0.027,0,0.027,0,(null),0.011,0,0.006,0,0.034,0.02,0.008,0,0.011,0.004,0.046,0,0,0.008,0,0,0,0,0,0.053,0.007,0,0,0.017,0.056,0.073,0.055,0.234,0.289,0,0,0,0,(null),(null),0.026,0
NRSPHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,(null),0.05,0,0.119,0,(null),0.049,0.063,0.01,0,0.026,0.299,0.009,0,0.02,0.005,0.056,0,0,0.034,0,0.002,0.009,0,0.007,0.022,0,0,0,0,0.083,0.083,0,0.885,0.885,0,0,0,0,(null),(null),0.029,0
NRSKAI20100112,Kangaroo Island,-35.83217,136.44733,2010-01-13 07:00:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
