NRS_CODE,Station,Latitude,Longitude,SampleDateLocal,Biomass_mgm3
NRSESP20100322_ZOOBIOWC,Esperance,-33.93333,121.85,2010-03-22,12.27495
NRSESP20100629_ZOOBIOWC,Esperance,-33.93333,121.85,2010-06-29,7.15122
NRSESP20101013_ZOOBIOWC,Esperance,-33.93333,121.85,2010-10-13,4.1257
NRSESP20110120_ZOOBIOWC,Esperance,-33.93333,121.85,2011-01-20,3.66205
NRSESP20110512_ZOOBIOWC,Esperance,-33.93333,121.85,2011-05-12,14.11383
NRSESP20110818_ZOOBIOWC,Esperance,-33.93333,121.85,2011-08-18,6.29464
NRSESP20111130_ZOOBIOWC,Esperance,-33.93333,121.85,2011-11-30,11.21405
NRSESP20120309_ZOOBIOWC,Esperance,-33.93333,121.85,2012-03-09,23.78763
NRSESP20120612_ZOOBIOWC,Esperance,-33.93333,121.85,2012-06-12,9.70522
NRSESP20120910_ZOOBIOWC,Esperance,-33.93333,121.85,2012-09-10,6.56183
NRSESP20121212_ZOOBIOWC,Esperance,-33.93333,121.85,2012-12-12,5.80741
NRSESP20130314_ZOOBIOWC,Esperance,-33.93333,121.85,2013-03-14,14.29458
NRSESP20130725_ZOOBIOWC,Esperance,-33.93333,121.85,2013-07-25,5.85457
NRSKAI20091115_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2009-11-16,3.18268
NRSKAI20091215_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2009-12-15,0.76738
NRSKAI20100112_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2010-01-13,12.34528
NRSKAI20100419_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2010-04-20,0.96541
NRSKAI20101120_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2010-11-21,1.13515
NRSKAI20101213_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2010-12-14,4.15517
NRSKAI20110223_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-02-23,0.27583
NRSKAI20110319_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-03-20,0.31826
NRSKAI20110427_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-04-28,0.00176
NRSKAI20110718_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-07-19,0.0106
NRSKAI20111026_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-10-26,0.5941
NRSKAI20111115_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-11-15,2.34104
NRSKAI20111219_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2011-12-20,0.3996
NRSKAI20120116_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2012-01-17,3.46735
NRSKAI20120215_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2012-02-15,1.61256
NRSKAI20120415_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2012-04-15,1.77876
NRSKAI20130220_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2013-02-21,4.10212
NRSKAI20130423_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2013-04-23,1.79998
NRSKAI20130506_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2013-05-07,41.55527
NRSKAI20130827_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2013-08-28,1.71865
