NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML
NRSNSI20180302,North Stradbroke,-27.345,153.562,2018-03-02 10:25:00,20,37893.09,23212.29,2006.815
NRSROT20180221,Rottnest Island,-32,115.41667,2018-02-21 10:05:00,0,6203.585,41841.335,10393.325
NRSYON20180130,Yongala,-19.30847,147.61842,2018-01-30 10:05:00,20,30298.535,70312.33,1375.21
NRSYON20171215,Yongala,-19.30847,147.61842,2017-12-15 10:44:00,10,22800.43,88607.915,1973.025
NRSROT20180328,Rottnest Island,-32,115.41667,2018-03-28 09:23:00,20,11767.095,51056.02,38101.125
NRSROT20180125,Rottnest Island,-32,115.41667,2018-01-25 10:00:00,0,12030.83,21817.25,10679.035
NRSROT20180125,Rottnest Island,-32,115.41667,2018-01-25 10:00:00,20,7699.31,22439.87,10827.675
NRSROT20180125,Rottnest Island,-32,115.41667,2018-01-25 10:00:00,40,8751.735,13013.575,3450.07
NRSROT20171214,Rottnest Island,-32,115.41667,2017-12-14 09:37:00,20,16805.73,22416.89,14309.95
NRSROT20170914,Rottnest Island,-32,115.41667,2017-09-14 09:45:00,10,3052.41,13945.7,19268.34
NRSMAI20171015,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00,0,1349.175,16880.28,8528.28
NRSNSI20170717,North Stradbroke,-27.345,153.562,2017-07-17 11:05:00,50,24793.885,13691.415,2899.345
NRSPHB20170517,Port Hacking,-34.11923,151.22667,2017-05-18 09:45:00,WC,30703.845,17965.12,18136.265
NRSNSI20180123,North Stradbroke,-27.345,153.562,2018-01-23 10:20:00,0,35777.89,14355.19,2011.185
NRSPHB20180221,Port Hacking,-34.11923,151.22667,2018-02-22 09:18:00,0,11363.165,32389.735,14690.275
NRSMAI20180315,Maria Island,-42.59667,148.23333,2018-03-16 08:45:00,10,15455.44,42498.6,13069.185
NRSDAR20180208_2130,Darwin,-12.4,130.76805,2018-02-09 07:00:00,10,858.39,129494.195,19878.165
NRSDAR20180209_0030,Darwin,-12.4,130.76805,2018-02-09 10:00:00,10,460.91,71574.845,9605.56
NRSDAR20180209_0330,Darwin,-12.4,130.76805,2018-02-09 13:00:00,0,1454.875,70960.34,30923.145
NRSYON20171025,Yongala,-19.30847,147.61842,2017-10-26 09:56:00,26,30617.285,62717.885,2731.115
NRSYON20170724,Yongala,-19.30847,147.61842,2017-07-24 10:45:00,20,22980.915,27129.7,1367.57
NRSMAI20180711,Maria Island,-42.59667,148.23333,2018-07-12 08:40:00,85,766.4,9464.1,8116.1
NRSDAR20190214_0630,Darwin,-12.4,130.76805,2019-02-14 16:00:00,10,(null),(null),(null)
NRSDAR20180731_0630,Darwin,-12.4,130.76805,2018-07-31 16:00:00,16,949.025,65979.435,3334.895
NRSNSI20180718,North Stradbroke,-27.345,153.562,2018-07-18 10:20:00,10,4134.95,20099.715,7547.925
NRSNSI20180718,North Stradbroke,-27.345,153.562,2018-07-18 10:20:00,40,2347.765,13432.905,6706.985
NRSNSI20190118,North Stradbroke,-27.345,153.562,2019-01-18 10:40:00,20,(null),(null),(null)
NRSNSI20170717,North Stradbroke,-27.345,153.562,2017-07-17 11:05:00,30,30101.735,39836.165,5307.47
NRSNSI20170717,North Stradbroke,-27.345,153.562,2017-07-17 11:05:00,10,28055.125,37333.03,5448.24
NRSPHB20170716,Port Hacking,-34.11923,151.22667,2017-07-17 09:42:00,50,325,5922.225,10409.03
NRSPHB20170821,Port Hacking,-34.11923,151.22667,2017-08-22 09:50:00,25,625.08,10303.55,9748.195
NRSYON20170906,Yongala,-19.30847,147.61842,2017-09-06 10:00:00,10,55259.14,37682.615,2581.945
NRSYON20170816,Yongala,-19.30847,147.61842,2017-08-16 10:24:00,26,52849.815,21942.315,1982.5
NRSDAR20170715_0330,Darwin,-12.4,130.76805,2017-07-15 13:00:00,18,303,49192.215,5540.92
NRSDAR20170715_0630,Darwin,-12.4,130.76805,2017-07-15 16:00:00,15,255,62573.545,5597.03
NRSKAI20170908,Kangaroo Island,-35.83217,136.44733,2017-09-08 15:00:00,50,10872.285,24545.005,13411.42
NRSYON20180602,Yongala,-19.30847,147.61842,2018-06-03 09:10:00,0,15673.935,78119.54,3212.175
NRSKAI20170908,Kangaroo Island,-35.83217,136.44733,2017-09-08 15:00:00,100,2791.525,21840.6,10605.555
NRSNSI20170829,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00,30,53653.44,24003.19,2525.175
NRSNSI20170829,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00,40,50050,14457.655,2385.975
NRSNSI20171023,North Stradbroke,-27.345,153.562,2017-10-23 10:25:00,20,76782.275,55465.67,3515.045
NRSNSI20171023,North Stradbroke,-27.345,153.562,2017-10-23 10:25:00,40,55144.16,24285.75,4294.14
NRSMAI20170921,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00,40,(null),(null),(null)
NRSMAI20171015,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00,30,(null),(null),(null)
NRSMAI20181018,Maria Island,-42.59667,148.23333,2018-10-19 08:45:00,85,461.44,21.575,222.165
NRSMAI20180627,Maria Island,-42.59667,148.23333,2018-06-28 09:00:00,10,779.48,8059.15,6953.535
NRSMAI20180627,Maria Island,-42.59667,148.23333,2018-06-28 09:00:00,50,786.35,9841.11,7594.125
NRSNSI20180530,North Stradbroke,-27.345,153.562,2018-05-30 10:20:00,0,38364.835,37092.69,4775.485
NRSPHB20180528,Port Hacking,-34.11923,151.22667,2018-05-29 09:50:00,50,649.075,12294.555,6253.83
NRSROT20200128,Rottnest Island,-32,115.41667,2020-01-28 09:39:00,40,(null),(null),(null)
NRSROT20200304,Rottnest Island,-32,115.41667,2020-03-04 09:25:00,30,(null),(null),(null)
NRSPHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25 08:52:00,25,(null),(null),(null)
NRSPHB20191028,Port Hacking,-34.11923,151.22667,2019-10-29 09:30:00,50,(null),(null),(null)
NRSYON20200116,Yongala,-19.30847,147.61842,2020-01-16 10:05:00,26,(null),(null),(null)
NRSYON20200212,Yongala,-19.30847,147.61842,2020-02-13 09:47:00,20,(null),(null),(null)
NRSMAI20200526,Maria Island,-42.59667,148.23333,2020-05-26 10:10:00,75,(null),(null),(null)
NRSMAI20200106,Maria Island,-42.59667,148.23333,2020-01-07 09:45:00,50,(null),(null),(null)
NRSMAI20200223,Maria Island,-42.59667,148.23333,2020-02-24 10:30:00,10,(null),(null),(null)
NRSROT20190527,Rottnest Island,-32,115.41667,2019-05-27 09:28:00,10,(null),(null),(null)
NRSMAI20190624,Maria Island,-42.59667,148.23333,2019-06-24 10:10:00,50,(null),(null),(null)
NRSMAI20190624,Maria Island,-42.59667,148.23333,2019-06-24 10:10:00,85,(null),(null),(null)
NRSMAI20200628,Maria Island,-42.59667,148.23333,2020-06-29 09:45:00,10,(null),(null),(null)
NRSMAI20200628,Maria Island,-42.59667,148.23333,2020-06-29 09:45:00,20,(null),(null),(null)
NRSROT20190621,Rottnest Island,-32,115.41667,2019-06-21 09:15:00,46,(null),(null),(null)
NRSPHB20190522,Port Hacking,-34.11923,151.22667,2019-05-23 08:50:00,75,(null),(null),(null)
NRSKAI20190320,Kangaroo Island,-35.83217,136.44733,2019-03-20 13:40:00,10,(null),(null),(null)
NRSKAI20190320,Kangaroo Island,-35.83217,136.44733,2019-03-20 13:40:00,75,(null),(null),(null)
