NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSNSI20100121,0,0.8,1,0.4,0.4,29,1
NRSYON20101208,0,4.4,1,3.6,0.8,17.5,0
NRSYON20101208,0,4.9,1,4.2,0.8,17.5,0
NRSPHB20100908,0,1.2,1,0.7,0.5,(null),0
NRSROT20101215,0,0.8,1,0.5,0.3,20.5,0
NRSROT20110125,0,0.6,1,0.2,0.4,15.5,0
NRSESP20111130,0,0.6,1,0.3,0.3,14,0
NRSESP20111130,0,0.7,1,0.4,0.3,14,0
NRSNSI20110816,0,2,1,0.4,1.6,23,0
NRSNSI20110623,0,1.3,1,0.5,0.8,17,0
NRSNSI20111116,0,0.6,1,0.4,0.3,12,0
NRSNSI20111116,0,0.6,1,0.2,0.4,12,0
NRSMAI20111214,0,0.3,1,0.1,0.3,9,0
NRSMAI20111214,0,0.3,1,0.1,0.3,9,0
NRSKAI20090205,0,(null),9,(null),(null),17.8,0
NRSESP20090917,0,1.3,1,0.9,0.4,11.5,1
NRSPHB20090920,0,1.7,1,1.2,0.5,16,0
NRSNSI20091021,0,(null),9,(null),(null),20,0
NRSROT20091026,0,0.6,1,0.2,0.4,15,0
NRSYON20100224,0,1.1,1,0.9,0.2,16,0
NRSYON20100224,0,1.5,1,1.1,0.3,16,0
NRSROT20100820,0,1.3,1,0.9,0.4,20,0
NRSESP20101013,0,3.2,1,2.6,0.6,18,0
NRSYON20110118,0,1.4,1,1.1,0.3,15,0
NRSYON20110118,0,2,1,1.6,0.4,15,0
NRSYON20111027,0,1.8,1,1,0.8,21,0
NRSYON20111027,0,1.5,1,0.8,0.7,21,0
NRSROT20111020,0,1.2,1,0.3,0.9,17,0
NRSPHB20100609,0,0.6,1,0,0.6,20.5,0
NRSYON20110323,0,1.9,1,1.6,0.4,5.5,0
NRSYON20110323,0,1.9,1,1.5,0.4,5.5,0
NRSNIN20110501,0,0.9,1,0.4,0.5,9,0
NRSYON20110616,0,1.5,1,1.2,0.3,18,0
NRSYON20110616,0,1.8,1,1.5,0.2,18,0
NRSROT20110725,0,0.8,1,0.3,0.4,14,0
NRSMAI20111026,0,0.4,1,0.1,0.3,13,0
NRSPHB20090924,0,1.9,1,1.3,0.6,10.75,0
NRSMAI20091207,0,0.3,1,0,0.3,14,1
NRSMAI20100505,0,2.2,1,1.5,0.8,36,0
NRSROT20100520,0,1.2,1,0.9,0.4,17,0
NRSMAI20120119,0,0.4,1,0.2,0.3,15,0
