SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
128-21,-4781.843719,15.25,0.1333,0.197499052
240-29,-772.7525,26.63,0.2593,0.161351457
142-76,-3649.438381,10.5386742,0.2204,(null)
142-36,0.1121,(null),0.1804,(null)
149-79,-3399.745494,4.6289521,0.1143,(null)
184-17,-1808.046056,19.6,0.34,0.202731788
165-20,-2753.765494,12.31,0.4439,0.316731215
143-34,0.1121,(null),0.1752,(null)
140-5,-4310.216056,3.1749244,0.2062,(null)
166-39,-3527.182875,3.16,0.1542,0.201900169
14-38,-113.99375,22.3088128,0.6383,(null)
68-25,-1869.984731,13.45,0.2049,0.415841788
3-5,-830.8643938,20.59,0.3551,0.214837834
6-65,0.1121,14.64,0.203,0.318472624
77-41,-1681.424819,20.61,0.2412,0.354849517
76-21,-261.5973313,16.68,0.3752,0.094857156
86-25,0.1121,10.29,0.1298,0.151423424
86-34,0.1121,10.16,0.562,0.110169321
86-59,0.1121,8.78,0.3578,0.148074061
86-79,-3739.367525,6.92,0.3347,0.230279401
87-43,-4511.538363,5.4,0.1545,0.26537472
91-29,0.1121,2.37,0.2518,0.126735345
92-30,-3714.367613,6.1,0.264,0.106847823
118-21,-5504.106156,16.58,0.1397,0.330408692
131-9,-4686.419113,13.97,0.1343,0.545511127
146-53,-4155.350475,3.74,0.1587,0.129520297
146-54,0.1121,3.8,0.1287,0.138668254
135-33,-1862.900325,22.56,0.2122,0.164942965
144-69,0.1121,3.32,0.1412,0.107241094
155-4,-2987.769006,6.7,0.4936,0.162559807
169-9,-98.7211375,16.42,0.1529,0.414259613
207-29,-3018.87375,9.8,0.2447,(null)
191-25,-1130.904663,14.43,0.1592,(null)
209-1,0.1121,2.8,0.2602,0.146406233
209-15,0.1121,2.35,0.361,0.095033132
215-33,-4625.504794,9.92,0.3194,0.316326946
215-55,0.1121,10.01,0.1987,0.301636577
206-45,-1105.4275,18.92,0.1586,0.395029783
365-57,-46.480625,16.008813,0.1751,1.615109682
308-77,-3719.053125,16.25,0.3132,0.237267375
244-57,-47.805,19.09,0.2499,0.547782481
254-57,-65.840625,22.556799,0.3126,0.152976215
325-69,-4477.046875,18.05,0.1083,0.109646775
332-5,-76.975,26.93,0.6212,0.212582916
299-13,-69.899375,15.82,0.194,(null)
270-1,-99.0475,19.17,0.1656,0.201611325
373-101,-5611.225,15.0946463,0.5059,0.134588376
402-17,-2175.19125,15.9458963,0.2878,0.323170692
358-81,-77.226875,15.8130491,0.2157,0.66574502
298-49,-128.99875,16.72,0.6986,0.561115205
315-33,-4542.46375,12.94,0.5031,0.273036271
330-17,-70.120625,18.01,0.188,0.13270995
360-89,-3899.505625,10.93,0.3939,(null)
348-45,-276.366875,13.75,0.1962,0.247579902
148-59,-3466.813531,11.6865214,0.2198,(null)
148-65,-4061.858175,11.5608964,0.193,(null)
150-2,-3686.133006,4.0344383,0.112,(null)
155-43,-3699.178988,6.425341,0.1158,(null)
143-58,-3431.852894,7.0645076,0.1169,(null)
270-77,-5065.99125,18.69,0.3476,0.117549032
139-13,0.1121,2.7143688,0.2513,(null)
392-65,-2722.321875,20.3117296,0.4548,0.401588827
221-76,0.1121,11.29,0.1277,(null)
365-37,-99.69375,15.898813,0.3543,1.097422838
147-74,0.1121,8.86,0.2318,0.114564046
135-45,-1171.977269,22.28,0.3342,0.099368118
160-39,-4288.138038,3.4,0.1562,0.14328678
161-23,0.1121,5.57,0.4547,0.096499428
161-41,-4190.1206,6.03,0.3574,0.165308043
164-4,0.1121,6.11,0.175,0.178499147
167-12,-3952.764325,11.11,0.2059,0.184772909
167-44,0.1121,13.57,0.2269,0.201679468
3-85,-682.1411125,18.25,0.2048,0.310913593
63-1,-181.1533563,24.41,0.2412,0.181660354
43-17,-456.3396633,23.96,0.181,0.24606593
12-46,-1330.524375,22.1175628,0.1312,(null)
53-49,-4230.680988,13.23,0.233,0.250593394
52-49,-4724.575425,14.66,0.1557,0.287471116
94-8,0.1121,10.69,0.1878,0.220806956
86-39,0.1121,10.18,0.1438,0.099155173
89-39,0.1121,6.85,0.1376,0.094727971
146-26,0.1121,2.76,0.1263,0.099607743
245-29,-114.7175,18.73,0.4424,0.107150197
408-17,-5497.04,16.1287435,0.188,0.122742288
408-53,-5567.00125,15.7888824,2.1246,0.358593434
142-23,0.1121,(null),0.1788,(null)
207-40,0.1121,10.21,0.1462,(null)
207-18,0.1121,10.69,0.1565,0.214660123
209-68,0.1121,1,0.361,0.14717862
213-57,-1250.491875,17.05,0.2828,0.40146479
220-82,-4502.198744,-0.37,0.2713,(null)
148-29,-2330.790975,13.0237436,0.3219,(null)
150-77,0.1121,(null),0.1255,(null)
141-76,-4325.51705,6.7831187,0.1495,(null)
19-17,-2208.478581,23.05,0.3125,0.150442377
2-48,0.1121,(null),0.2979,(null)
67-8,0.1121,14.01,0.164,0.532123327
18-18,-1262.918125,22.1249934,0.2382,(null)
2-100,0.1121,(null),0.1459,(null)
9-13,-38.939,20.09,0.1527,0.42079857
67-49,-393.7691063,14.3,0.2472,0.317642331
51-74,-119.991875,22.0476323,0.628,(null)
53-1,-4899.452738,14.03,0.1453,0.188204154
7-37,-1040.119819,23.44,0.1782,0.346442163
74-5,-1543.303194,15.42,0.2099,0.529317677
86-50,0.1121,9.19,0.1669,0.108000934
93-28,-4230.762488,8.29,0.1411,0.196095154
117-1,-5519.27601,18.32,0.2582,0.122181147
108-17,-2219.005438,18.3,0.1793,0.326173514
108-38,-704.065625,19.0390213,0.1462,(null)
145-28,0.1121,1.75,0.1211,0.471643806
146-28,0.1121,2.82,0.1254,0.114158735
147-1,0.1121,4.12,0.1273,0.10627351
147-72,-3558.356963,8.77,0.1195,0.153074339
144-85,0.1121,2.66,0.1388,0.131897241
156-20,0.1121,4.52,0.1939,0.125792429
158-71,0.1121,0.87,0.1311,0.31412679
158-84,0.1121,-0.16,0.2594,0.330574095
159-32,0.1121,1.25,0.3674,0.127503902
161-59,-4439.521519,7.06,0.2458,(null)
161-70,0.1121,6.5,0.1375,(null)
124-21,-754.3803333,17.54,0.1763,0.235625222
163-13,0.1121,11.24,0.1555,0.211236015
163-33,0.1121,10.29,0.1515,0.253975213
163-38,0.1121,10.29,0.3532,0.238442913
162-26,-3407.631756,7.78,0.2192,0.174769342
207-76,0.1121,9.28,0.3345,(null)
215-47,-4431.514819,9.77,0.1334,(null)
215-76,-3822.389575,9.12,0.346,0.210593015
219-40,-4326.163631,3.49,0.1611,(null)
219-84,-4439.768919,1.84,0.1912,0.132753596
365-45,-58.175625,15.9174241,0.2286,1.744595528
324-17,-54.656875,18.48,0.3411,0.321083456
244-69,-30.8109625,19.62,0.3475,0.20432274
299-77,-30.69125,16.59,0.2809,0.768383563
400-13,-864.899375,22.1939517,0.2448,0.355175406
404-29,-5213.03,17.4018685,0.6339,0.297930628
321-34,-4621.922481,11.52,0.3493,0.233066112
315-13,-4544.04125,12.14,0.4112,0.407800019
316-10,0.1121,8.5788443,0.3256,0.07239902
316-47,-4197.653181,11.1450631,0.4761,0.184910208
301-29,-294.521875,25.35,0.3493,0.144140899
306-21,-81.404375,13.99,0.2096,0.305054575
269-65,-53.2175,18.03,0.1837,0.523567498
268-61,-1508.039375,20.29,0.1646,0.21220383
268-69,-71.205625,19.34,0.2906,0.292380214
297-85,-115.278125,23.64,0.8287,0.299621433
139-8,0.1121,(null),0.316,(null)
148-61,-3678.514206,11.6251325,0.2004,(null)
161-90,-4211.022525,7.0501326,0.2875,(null)
140-37,-3852.9663,3.5083966,0.157,(null)
140-77,-4387.101669,5.5974243,0.1713,(null)
343-17,-2516.556875,21.56,0.2096,0.205609098
147-6,0.1121,4.7,0.1445,0.096093483
156-19,0.1121,4.58,0.3967,0.137129754
158-68,0.1121,1.02,0.1893,0.392704338
160-9,0.1121,2.89,0.143,0.151787892
161-60,-4424.964488,7.03,0.1526,(null)
81-13,-23.10746875,17.98,0.4914,0.226001814
88-3,0.1121,3.51,0.1423,(null)
89-4,0.1121,9.41,0.2087,0.156786934
91-8,0.1121,2.02,0.1608,0.194611132
118-1,-5558.546338,17.78,0.2326,0.191915393
300-5,-33.981875,16.9,0.4123,0.429215729
149-47,0.1121,(null),0.1289,(null)
149-5,0.1121,(null),0.1471,(null)
178-25,-91.293125,17.45,0.1447,0.376415551
178-69,-54.963125,18.37,0.1494,0.421257615
165-11,-3343.630163,12.87,0.2111,0.482403576
189-61,-4736.135025,15.94,0.172,0.271968275
207-32,0.1121,10.23,0.2477,(null)
213-1,-138.99375,18.88,0.1484,0.636171401
213-65,-88.475625,16.25,0.6781,0.449969202
143-72,0.1121,(null),0.221,(null)
143-10,0.1121,(null),0.2429,(null)
140-40,-3880.533363,3.5156188,0.1647,(null)
140-51,-3949.782281,4.4548549,0.1307,(null)
140-57,-4107.56985,4.7630493,0.134,(null)
139-39,0.1121,(null),0.23,(null)
139-32,-4463.971225,2.63298,0.2227,(null)
2-2,-133.00875,21.0452018,0.3423,(null)
82-81,-803.4060625,23.06,0.144,0.13661854
69-29,-2932.195931,17.48,0.1786,0.394262254
53-57,-3826.761825,13.33,0.3622,0.193039462
7-61,-1113.023938,21.24,0.3546,0.507421792
94-10,0.1121,10.91,0.1556,0.247779563
86-75,-3598.821363,6.89,0.1378,0.224567756
93-3,0.1121,8.8,0.5393,0.133784696
100-90,-75.4225,15.55,0.1323,0.277448416
145-34,0.1121,1.28,0.1681,0.230479911
144-27,-3407.883144,4.66,0.1987,0.121424608
144-29,-3453.643625,4.55,0.3099,0.120287351
145-13,0.1121,1.82,0.1235,0.109824128
159-52,0.1121,1.84,0.3733,0.34676972
170-81,-5106.454481,18.94,0.1782,0.15386422
207-36,0.1121,10.6,0.3737,(null)
207-85,0.1121,(null),0.2962,(null)
208-40,0.1121,12.02,0.1794,0.244247213
216-15,0.1121,8.08,0.6629,0.166696161
211-45,-112.21625,15.67,0.5335,2.046972752
212-29,-126.853125,15.7318685,0.2753,0.44235754
220-51,-4323.052881,0.73,0.4423,(null)
219-37,-4399.79555,3.42,0.3405,0.190120116
373-17,-72.875,15.3102713,0.1958,0.444854349
402-69,-5423.029375,16.2457574,0.2808,0.279320091
321-9,-4185.088125,12.54,0.3047,0.340370387
315-10,-4399.068831,11.92,0.3666,0.426928282
359-25,-4783.92875,11.95,0.5311,0.4185085
366-37,-2713.088125,16.25,0.2217,0.112485699
150-15,-4035.670988,4.2450632,0,(null)
149-3,-4058.207644,10.2922853,0.1571,(null)
141-22,0.1121,(null),0.1506,(null)
141-51,0.1121,(null),0.1703,(null)
139-2,0.1121,(null),0.2696,(null)
139-9,0.1121,(null),0.28,(null)
139-29,0.1121,(null),0.2313,(null)
362-77,-136.016875,22.2520073,0.27,0.13845101
157-20,0.1121,3.25,0.1527,0.140535459
160-17,0.1121,2.73,0.1475,(null)
160-18,-4429.674381,2.57,0.1703,(null)
161-30,0.1121,5.63,0.1579,(null)
161-34,0.1121,5.68,0.2672,0.139437675
2-49,-707.6580438,16.99,0.1743,0.352314651
69-77,-50.47614375,13.35,0.2427,0.365302026
61-29,-390.0955875,23.97,0.5337,0.166698962
77-93,-39.5005375,17.22,0.3007,0.211019099
94-21,0.1121,10.74,0.3395,0.264547944
91-40,0.1121,2.18,0.1375,0.223432735
302-81,-86.753125,18.96,0.297,0.524726033
316-73,-4381.375625,12.65,0.1716,0.248368323
339-25,-35.178125,24.4274934,0.2708,0.544675887
142-77,-3670.100898,10.6118687,0.1968,(null)
142-31,0.1121,(null),0.158,(null)
178-17,-73.949375,17.27,0.1282,0.256946564
170-37,-5477.265863,17.68,0.1292,0.165460452
179-13,0.1121,11.84,0.1848,0.29247269
164-58,0.1121,2.82,0.1707,(null)
165-46,-4708.756456,10.56,0.1602,0.276251644
214-81,-30.82,16.2866602,0.3461,0.23180154
346-1,-2005.6425,16.18,0.322,0.464255869
346-57,-4211.865,19.76,0.1186,0.342917442
4-21,-2751.602575,16.15,0.1858,0.371001482
149-29,-3260.476925,7.4450632,0.1208,(null)
19-41,-1691.570625,21.23,0.3367,0.266754687
76-41,-628.3352125,17.24,0.1558,0.17796351
14-21,-670.0040688,26.47,0.1464,0.103901088
14-65,0.1121,24.68,0.1449,0.134978101
94-22,0.1121,10.95,0.4719,0.270879477
86-77,-3670.003825,7.05,0.1411,0.329092056
86-89,0.1121,7.09,0.1835,0.148166284
91-35,0.1121,2.08,0.1488,(null)
82-89,-647.38715,22.92,0.1673,0.114357591
93-13,0.1121,9.55,0.1868,0.149590462
93-31,-4122.8721,8.46,0.1622,0.141190752
145-22,0.1121,1.86,0.2424,0.277528912
144-18,-3165.600263,4.65,0.2424,0.13020815
157-25,0.1121,2.86,0.129,0.145791158
159-82,0.1121,2.16,0.1971,0.309479356
160-12,0.1121,3.11,0.188,0.135110065
155-10,-2787.772631,6.22,0.1554,0.141141459
163-47,0.1121,9.47,0.1236,0.234333277
167-38,-1563.744819,12.69,0.1312,0.183136374
166-45,0.1121,2.95,0.1554,0.154117689
162-38,-3418.441638,8.12,0.1755,0.155318618
207-20,0.1121,10.13,0.2212,0.233049735
176-65,-1100.9654,25.26,0.16,0.112221248
209-5,0.1121,2.2,0.1553,0.08463449
214-13,-82.978125,15.2543686,0.2418,0.224682093
216-51,-3387.812381,7.28,0.3845,0.140374497
215-29,-4592.532881,9.92,0.57,0.435240775
215-80,-3812.688675,9.06,0.294,0.218835041
215-82,-3794.509794,9.11,0.3179,0.203887284
211-49,-132.479375,14.41,0.6818,3.584068775
219-34,-4410.276388,3.22,0.164,(null)
221-12,0.1121,14.89,0.2057,0.304334015
308-69,-4326.19625,15.88,0.2053,0.201805472
244-53,-54.968125,19.86,0.4008,0.453646541
362-1,-3128.825625,26.19,0.2454,0.055838272
358-9,-124.29375,21.1452712,0.2584,0.500525355
358-57,-100.525625,18.5310352,0.2792,0.449037105
321-43,0.1121,10.26,0.4554,0.263256282
321-77,-3871.604487,8.69,0.3492,0.185773343
298-85,-76.34375,15.47,0.1998,(null)
307-53,-1440.215,15.35,0.2836,0.274107814
315-2,-4272.189401,11.24,0.3394,0.320059985
315-49,-3528.3925,13.62,0.2593,0.459293216
330-9,-74.384375,19.02,0.347,0.180326849
269-33,-108.558125,16.99,0.375,0.179839253
359-37,-4435.133125,11.29,0.4488,0.423962504
308-53,-4358.854375,15.72,0.2156,0.361963987
139-69,0.1121,(null),0.2339,(null)
139-15,0.1121,2.65923,0.2444,(null)
148-7,-1395.924588,16.2359658,0.4334,(null)
142-87,0.1121,(null),0.3156,(null)
143-24,0.1121,(null),0.2402,(null)
398-1,-22.019375,22.8258962,0.2874,0.44561708
244-33,-71.080625,19.48,0.2888,0.288510948
146-37,0.1121,3.38,0.15,0.085811682
147-48,0.1121,6.98,0.1479,0.125331819
155-36,0.1121,5.37,0.1466,0.135472417
157-3,0.1121,4.37,0.1661,0.190270111
160-51,-4278.206413,3.77,0.1703,(null)
167-51,0.1121,14.11,0.1629,(null)
54-17,-658.658475,13.91,0.3558,0.304735929
54-21,-520.8566188,13.89,0.603,0.14230606
77-26,-3285.47375,20.0648546,0.1281,(null)
68-5,-1121.990363,12.09,0.4696,0.362094223
66-81,-736.677725,18.93,0.1127,0.950249732
94-39,-4048.736269,13.48,0.1265,0.320590883
192-61,-4484.001681,15.31,0.1769,(null)
90-12,0.1121,5.25,0.1401,0.248536378
90-21,0.1121,4.17,0.1429,0.113848016
113-29,-3639.91895,21.99,0.1373,0.120297432
116-13,-5353.965288,18.75,0.1365,0.078291833
130-5,-4493.382969,16.18,0.1191,1.63117826
298-33,-691.59375,20.88,0.117,0.270409703
307-61,-1736.41,15.9,0.1756,0.192288652
300-57,-1869.408125,17.01,0.1617,0.175399378
316-25,-3152.4625,9.54,0.2281,0.198341534
339-45,-59.134375,24.7827017,0.1765,0.47761786
354-5,-31.554375,23.1173545,0.4447,0.237108573
149-84,0.1121,(null),0.1002,(null)
164-40,0.1121,4.28,0.2756,(null)
164-61,0.1121,2.94,0.26,0.133607581
207-6,0.1121,12.6,0.1549,(null)
209-69,0.1121,0.96,0.3043,0.16676569
216-18,0.1121,7.66,0.3176,0.157976553
216-35,-3529.218031,7.37,0.1554,0.184433505
215-25,0.1121,9.88,0.4979,0.302006483
211-44,0.1121,16.18,0.1103,3.446756601
219-3,-4325.707625,5.73,0.179,0.183711261
346-49,-3159.034375,20.17,0.2726,0.579612494
404-1,-5390.918125,17.2877018,0.1476,0.2470029
143-25,0.1121,(null),0.2417,(null)
143-37,-3819.313444,9.7034659,0.1566,(null)
143-53,-3597.441669,7.7288132,0.1168,(null)
140-6,-4305.721956,3.1586744,0.2003,(null)
150-58,0.1121,2.4087438,0.0954,(null)
143-41,-3766.770138,9.3299937,0.2801,(null)
6-1,-388.3163063,17.28,0.2969,0.355712444
8-13,-1553.666406,19.85,0.2303,0.364493579
209-22,0.1121,2.51,0.17,0.102077313
209-88,0.1121,0.18,0.2138,0.139377266
221-49,0.1121,13.08,0.3244,0.211591467
43-41,-1535.95485,23.5,0.1995,0.226433679
14-25,0.1121,26.42,0.642,0.071619175
5-9,-794.643775,21.21,0.3639,0.232218817
66-45,-1682.548963,20.82,0.257,1.190504313
53-17,-4837.510131,13.65,0.1973,0.236230478
7-45,-1807.453206,22.61,0.4365,0.346465707
52-21,-4667.089775,14.15,0.1898,0.315673441
83-69,-94.11985,18.45,0.1282,0.435241818
81-65,-82.14121875,17.09,0.1837,1.132326961
82-65,-1071.035844,26.43,0.1613,0.137618944
93-48,-3593.672675,8.79,0.1368,0.248585239
98-34,-91.325625,22.3691601,0.4061,(null)
146-12,0.1121,2.06,0.1224,0.108477682
146-44,0.1121,3.36,0.1414,0.109909251
144-42,-3659.47405,4.12,0.1775,0.10665442
156-27,0.1121,3.85,0.2769,0.155420616
159-21,0.1121,0.9,0.3787,0.620565414
159-67,0.1121,2.04,0.1509,0.115988992
155-6,0.1121,6.83,0.1417,0.151425853
163-80,-4083.408875,9.8,0.1808,0.174399436
165-24,-2501.280463,11.44,0.1587,0.641979933
162-28,0.1121,7.77,0.1575,0.196621791
162-34,-3411.47365,7.52,0.158,0.180330858
162-63,-3609.0226,9.67,0.2268,0.151998103
207-9,-134.48625,12.68,0.6602,(null)
209-47,0.1121,2.19,0.1616,0.148118779
209-67,0.1121,1.01,0.215,0.141122073
216-83,0.1121,4.9,0.4388,0.172414705
215-66,0.1121,9.57,0.2291,0.176502541
211-65,-160.934375,14.19,0.3203,0.722268283
212-9,-83.375,15.261938,0.1133,0.401759207
220-57,-4339.151613,-0.32,0.2951,0.148047283
219-38,-4376.059069,3.13,0.2539,(null)
219-39,-4345.957475,3.02,0.3198,(null)
219-43,-4289.0133,3.41,0.3017,(null)
221-19,0.1121,14.75,0.3,0.495802104
221-45,0.1121,13.11,0.1606,0.226119518
367-17,-4854.83625,16.74,0.3762,0.096099406
367-53,-4564.888125,17.31,0.1535,0.094491273
324-41,-1792.793125,17.68,0.1884,0.098290108
241-77,-28.87,16.3004796,0.3461,0.460722685
324-53,-1542.715,16.76,0.1625,0.114866696
373-13,-72.9725,15.2523547,0.1733,0.543771684
373-37,-2704.925625,16.0197158,0.1695,0.169666395
400-9,-2027.10375,22.1341601,0.1499,0.43183738
403-33,-5569.4125,15.7449935,0.4023,0.266045392
298-45,-108.93625,17.9,0.1388,0.5725618
321-46,0.1121,10.14,0.4093,0.237028748
321-83,-3913.467906,8.99,0.5443,0.196353719
245-13,-33.85625,20.84,0.1109,0.389990032
316-4,0.1121,8.1930014,0.2698,(null)
316-6,0.1121,8.2410788,0.4956,0.11736799
330-13,-74.659375,18.3,0.2845,0.114687763
269-53,-83.2975,16.76,0.1908,0.826980531
330-41,-102.776875,16.12,0.126,0.876111448
408-1,-5429.65125,16.492563,0.1838,0.235925674
270-5,-119.921875,19.28,0.4628,0.166592494
343-33,-825.2575,20.93,0.4835,0.296193182
139-89,0.1121,(null),0.215,(null)
139-6,0.1121,(null),0.2686,(null)
139-35,-4427.821581,2.6277022,0.2278,(null)
148-13,-2719.979463,16.2518685,0.418,(null)
148-55,-2986.859963,11.8304797,0.4946,(null)
149-48,0.1121,(null),0.132,(null)
254-33,-86.50125,22.3439517,0.3814,0.251166731
140-59,-4158.609175,4.780341,0.1349,(null)
221-75,0.1121,11.34,0.411,0.196923912
365-33,-96.81,15.8422852,0.3389,0.25520277
384-1,-86.051875,22.3691601,0.3532,0.291587114
147-73,-3582.819788,8.74,0.22,0.133727565
135-21,-943.1451063,23.02,0.385,0.093361519
145-7,0.1121,2.13,0.1557,0.369484842
157-38,0.1121,2.63,0.4203,(null)
158-62,0.1121,0.73,0.1652,0.295933127
160-60,0.1121,3.71,0.2789,0.167573884
8-26,-4124.595,20.2012434,0.4628,(null)
60-9,-1256.761388,22.27,0.3919,0.295778364
66-85,-748.3946,19.24,0.2124,0.97842586
88-5,0.1121,3.38,0.3448,0.143846646
89-15,0.1121,7.4,0.1627,0.116186447
185-9,-925.7930313,20.73,0.202,0.155712932
129-9,-4904.028319,15.16,0.1426,0.614693522
119-29,-5191.951488,15.65,0.1278,0.362155586
359-77,0.1121,9.65,0.3845,0.172563747
358-29,-149.58,20.0404101,0.5677,0.393848658
307-29,-118.7075,15.91,0.1723,0.24019295
311-33,-529.716875,24.3781878,0.2506,0.121862583
301-1,-94.970625,24.92,0.3193,0.145502791
316-48,-4215.754113,11.1654798,0.4149,0.137284681
142-79,-3696.787406,10.6451326,0.2241,(null)
165-22,-2596.983544,11.63,0.3094,0.533086181
189-45,-3427.557788,16.13,0.1605,0.221722677
207-19,0.1121,10.17,0.2886,0.226751044
207-22,0.1121,10.44,0.1461,0.293728232
207-26,0.1121,9.57,0.2488,0.346205831
215-20,-4774.08135,9.84,0.23,0.325813591
211-61,-2343.175,14.47,0.2629,0.263519913
220-53,-4308.929569,0.59,0.3069,0.166223899
220-85,-4548.682606,-0.44,0.1583,(null)
149-73,-3247.547731,4.770966,0.1077,(null)
149-10,0.1121,(null),0.151,(null)
143-45,-3705.921294,9.0052715,0.1198,(null)
143-52,-3621.285288,7.8790215,0.2801,(null)
139-60,0.1121,(null),0.2541,(null)
166-66,0.1121,3.11,0.2163,0.119502813
177-41,-1159.534819,19.96,0.1565,0.443884969
74-25,-1261.69875,14.57,0.4013,0.693417668
177-57,-1233.984338,18.25,0.212,0.581822872
216-69,0.1121,6.91,0.453,(null)
45-50,-56.129375,15.5195074,0.3003,(null)
6-81,-44.65609375,12.83,0.2092,0.454213649
14-69,-878.3426875,24.5,0.7144,0.109227374
5-21,-805.485525,21.16,0.8795,0.288412809
13-41,-1809.086794,19.45,0.3404,0.589112937
75-5,-1781.989125,14.32,0.1445,0.446321905
7-33,-837.05125,23.58,0.483,0.313099235
73-21,-1153.329419,15.51,0.1648,0.681032717
83-37,-2178.130675,21.87,0.1403,0.218503147
86-68,-3450.533806,7.33,0.1329,0.264602154
90-1,0.1121,5.54,0.1854,0.186633989
93-42,-3393.075138,8.82,0.2393,0.162748337
147-52,0.1121,7.48,0.4144,0.117669538
144-53,-3916.442631,4,0.1899,0.121603943
159-16,0.1121,1.19,0.1375,(null)
161-18,0.1121,5.66,0.2144,0.128676251
161-82,-4315.601788,6.79,0.1542,0.132336006
194-25,0.1121,24.95,0.3353,0.127774596
193-13,-4702.755006,16,0.1412,(null)
166-20,0.1121,2.97,0.1729,0.13195996
177-49,-392.3351188,18.36,0.1532,0.861002147
178-45,-83.845625,17.65,0.1832,0.522247672
164-87,0.1121,2.57,0.6206,0.172232777
162-21,-3585.2115,7.76,0.196,0.195080578
162-80,0.1121,10.03,0.2357,0.206315756
208-11,0.1121,9.54,0.1447,(null)
209-12,0.1121,2.3,0.4071,0.122277446
209-28,0.1121,2.27,0.1721,0.114548378
209-60,0.1121,1.48,0.3266,0.175248027
213-21,-3325.118125,17.71,0.1252,0.32810849
215-14,-4639.684775,10.59,0.3643,0.378154874
215-57,-4190.964469,9.94,0.2326,0.281515896
215-79,-3816.203369,8.95,0.186,0.232739106
211-17,-1402.705,16.64,0.1513,1.54944396
212-5,-76.271875,15.3945074,0.1641,0.395742148
220-6,-4445.857731,1.52,0.183,0.181819335
220-72,-4450.115731,-0.33,0.3437,(null)
221-52,0.1121,12.55,0.1359,0.220688164
362-97,69.539375,21.8802712,0.2411,(null)
304-41,-110.486875,20.02,0.1919,0.380562454
367-5,-5129.529375,17.02,0.5923,0.112124518
241-73,-55.680625,16.2067991,0.243,0.337360233
325-9,-5044.235,17.05,0.4675,0.087578729
299-33,-107.555625,16.88,0.4093,0.325285047
299-49,-161.355625,16.78,0.297,0.342917114
373-1,-62.5075,15.3965908,0.4632,0.246990249
271-17,-72.621875,25.12,0.2,0.177875206
350-45,-104.52375,17.88,0.9386,0.244599029
311-29,-741.091875,24.4130489,0.3731,0.115668871
315-3,-4286.8246,11.24,0.3394,0.284570962
302-89,-128.7975,19.6,0.2563,0.182888076
316-45,-4424.056875,11.46,0.4127,0.252692133
139-88,0.1121,(null),0.2136,(null)
150-22,-4074.285588,3.944091,0.1211,(null)
150-39,0.1121,3.3551327,0.1364,(null)
142-65,0.1121,(null),0.1901,(null)
140-38,-3861.758744,3.4831883,0.1592,(null)
141-60,-4349.174419,6.9664521,0.1824,(null)
141-46,-4415.908809,6.8127715,0.1377,(null)
139-20,0.1121,(null),0.2195,(null)
147-57,0.1121,7.74,0.1361,0.126703635
147-70,0.1121,8.23,0.1313,0.209974363
155-20,-2658.339938,6.06,0.1113,0.251098692
2-45,-1160.526388,17.49,0.5189,0.415532529
18-41,-912.41355,25.08,0.2437,0.256643355
75-1,-1918.891944,14.51,0.2277,0.717856109
187-49,0.1121,14.17,0.2012,0.241974592
87-79,0.1121,4.22,0.1605,0.149798676
190-29,-2091.217469,17.65,0.2627,0.279209226
117-25,-5514.788044,16.75,0.133,0.230248749
119-1,-5483.334294,16.58,0.1527,0.253189325
297-17,-79.834375,24.83,0.2729,0.156597584
265-37,-5034.820625,16.9323546,0.2765,0.37712878
239-21,-47.02875,28.3,0.2292,0.335551322
245-41,-1674.326875,19,0.5216,0.123022608
316-44,-4072.305838,11.0534659,0.5166,0.299919099
354-37,-31.288125,24.4274934,0.3408,0.405052096
142-74,-3614.826731,10.4227714,0.1828,(null)
142-4,-4074.326025,7.487216,0.1662,(null)
144-88,0.1121,2.6509661,0.1107,(null)
149-35,0.1121,(null),0.129,(null)
170-69,-5439.819306,18.23,0.3773,0.155892089
164-42,0.1121,4.03,0.1582,(null)
165-34,-3390.482031,10.37,0.1636,0.28916949
209-75,0.1121,0.33,0.4639,0.223958135
215-1,-3202.303169,11.74,0.15,0.350022495
149-44,-2863.555444,5.9471465,0.1769,(null)
149-2,0.1121,(null),0.1694,(null)
139-48,0.1121,(null),0.2497,(null)
141-58,0.1121,(null),0.1879,(null)
13-25,-2909.457513,20.98,0.1404,0.144308582
14-77,-691.3145313,24.19,0.228,0.314554274
67-20,0.1121,14.11,0.1503,0.182508156
19-1,-519.5793188,22.59,0.1551,0.320460111
124-17,0.1121,17.79,0.3463,0.264271528
108-66,-66.771875,15.7443685,0.1285,(null)
100-6,-229.693125,21.1149934,0.345908579,(null)
100-74,-66.098125,15.7299935,0.543592744,(null)
100-82,-56.4225,15.7499935,0.562600233,(null)
108-86,-76.59125,15.7449935,0.542504904,(null)
112-13,-72.61625,15.2999936,0.436193699,0.32147485
12-6,-167.975625,23.5249934,0.163077295,(null)
12-66,-134.15,22.4449934,0.19146323,(null)
136-10,-228.615625,18.1924935,0.443334666,(null)
13-22,-3264.61375,20.5899934,0.214799266,(null)
14-2,-56.966875,22.5399934,0.230333357,(null)
14-34,-89.051875,22.4299934,0.222837799,(null)
14-54,-532.69625,22.2299934,0.182804715,(null)
15-58,-1539.4675,16.5899935,0.234456969,(null)
15-82,-55.95125,15.7699935,0.259013404,(null)
