SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
4-10,-537.67875,20.3141601,0.1226,(null)
6-85,0.1121,12.99,0.2888,0.36760819
14-37,-915.9777063,25.84,0.6383,0.218444616
5-17,-573.6608875,20.75,0.3007,0.221018165
66-25,-749.395475,21.39,0.1594,0.653680384
53-65,-3719.168181,13.17,0.1428,0.186789766
53-13,-4898.134788,13.71,0.1651,0.223858774
19-73,-56.9647125,17.98,0.3671,1.544927597
94-46,0.1121,14.28,0.8759,0.598483205
87-19,0.1121,6.34,0.2876,0.284518123
87-44,-4524.210219,5.09,0.3169,0.273672312
89-35,0.1121,6.75,0.1471,0.093670897
90-14,0.1121,4.81,0.4437,0.164275214
91-30,0.1121,2.43,0.2151,0.116512194
91-50,-3199.256525,3.54,0.1792,0.100028768
93-50,0.1121,8.86,0.1249,0.153327703
131-17,-4513.464663,14.28,0.1575,(null)
147-10,0.1121,4.6,0.1221,0.10413111
147-83,-4172.303306,10.28,0.1596,0.15190056
135-17,-828.22645,23.73,0.1745,0.098567255
136-9,-615.6406,17.06,0.1199,0.235060483
145-1,0.1121,2.35,0.2178,0.121097192
158-85,0.1121,-0.16,0.4051,0.269610792
159-68,0.1121,1.96,1.1173,0.151204199
161-84,-4248.5492,7.2,0.1843,0.127977759
166-52,-3279.611031,3.04,0.1536,0.123140782
177-17,-1877.002956,21.73,0.1262,0.288417935
164-75,0.1121,2.49,0.1484,(null)
162-82,0.1121,10.27,0.1662,0.23514843
162-83,0.1121,10.35,0.1698,0.209381834
207-42,0.1121,10.21,0.1436,(null)
208-34,0.1121,11.06,0.1917,(null)
216-64,0.1121,7.39,0.2284,0.161414057
213-85,-76.715625,15.06,0.243,0.159887791
215-71,0.1121,9.24,0.2674,0.212781087
211-9,-394.59375,17.87,0.1063,0.398264438
220-65,-4410.224406,-0.24,0.3827,(null)
221-2,0.1121,14,0.2761,0.494686991
365-53,-47.08875,15.9746463,0.5453,1.798053741
385-21,-3370.598125,20.0870073,0.1247,0.351775348
324-65,-2048.085,16.96,0.3266,0.115057334
270-57,-4544.2425,19.2,0.1571,0.116994254
403-41,-5605.080625,16.0058269,0.4711,0.183775112
404-5,-5293.85375,17.3158963,0.1902,0.335385114
358-53,-90.438125,18.6949935,0.1963,0.315259784
298-57,-1082.350625,17.01,0.3684,0.35460186
321-72,0.1121,9.37,0.3892,0.229001135
