NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
PHB20131020,5517,Port Hacking,-34.11923,151.22667,2013-10-21 09:36:00
MAI20101001,1304,Maria Island,-42.59667,148.23333,2010-10-01 12:40:00
KAI20101120,1251,Kangaroo Island,-35.83217,136.44733,2010-11-21 05:00:00
PHB20110619,1349,Port Hacking,-34.11923,151.22667,2011-06-20 09:34:00
KAI20111026,1367,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00
PHB20120821,1528,Port Hacking,-34.11923,151.22667,2012-08-22 09:19:00
YON20140220,5059,Yongala,-19.30847,147.61842,2014-02-20 10:48:00
MAI20141127,7013,Maria Island,-42.59667,148.23333,2014-11-28 09:30:00
YON20150324,7631,Yongala,-19.30847,147.61842,2015-03-24 15:15:00
ROT20150507,7732,Rottnest Island,-32,115.41667,2015-05-07 09:36:00
YON20151203,8615,Yongala,-19.30847,147.61842,2015-12-03 11:00:00
YON20160215,8645,Yongala,-19.30847,147.61842,2016-02-15 10:18:00
ROT20160223,8585,Rottnest Island,-32,115.41667,2016-02-23 08:57:00
NSI20160822,8976,North Stradbroke,-27.345,153.562,2016-08-22 10:50:00
NSI20160720,8962,North Stradbroke,-27.345,153.562,2016-07-20 10:30:00
MAI20160530,8554,Maria Island,-42.59667,148.23333,2016-05-31 09:45:00
YON20160503,8675,Yongala,-19.30847,147.61842,2016-05-03 10:01:00
MAI20170601,9837,Maria Island,-42.59667,148.23333,2017-06-02 09:00:00
DAR20161107,9637,Darwin,-12.4,130.76805,2016-11-08 08:11:00
NSI20170927,10180,North Stradbroke,-27.345,153.562,2017-09-27 10:40:00
YON20171215,10848,Yongala,-19.30847,147.61842,2017-12-15 10:44:00
NSI20170516,9869,North Stradbroke,-27.345,153.562,2017-05-16 10:20:00
NSI20171023,10302,North Stradbroke,-27.345,153.562,2017-10-23 10:25:00
DAR20170715_0630,10240,Darwin,-12.4,130.76805,2017-07-15 16:00:00
ROT20161024,9174,Rottnest Island,-32,115.41667,2016-10-24 09:35:00
MAI20170626,9853,Maria Island,-42.59667,148.23333,2017-06-27 09:25:00
MAI20170921,10270,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00
NSI20180302,10601,North Stradbroke,-27.345,153.562,2018-03-02 10:25:00
NSI20180320,10586,North Stradbroke,-27.345,153.562,2018-03-20 10:40:00
YON20190703,12426,Yongala,-19.30847,147.61842,2019-07-03 10:50:00
PHB20190227,11624,Port Hacking,-34.11923,151.22667,2019-02-28 10:35:00
YON20190528,12055,Yongala,-19.30847,147.61842,2019-05-28 10:25:00
KAI20190320,12009,Kangaroo Island,-35.83217,136.44733,2019-03-20 13:40:00
YON20190808,12480,Yongala,-19.30847,147.61842,2019-08-08 10:04:00
YON20191009,12510,Yongala,-19.30847,147.61842,2019-10-09 10:00:00
YON20181213,11555,Yongala,-19.30847,147.61842,2018-12-13 10:30:00
YON20180329,10939,Yongala,-19.30847,147.61842,2018-03-29 10:27:00
PHB20180221,10769,Port Hacking,-34.11923,151.22667,2018-02-22 09:18:00
MAI20200106,12962,Maria Island,-42.59667,148.23333,2020-01-07 09:45:00
NSI20180817,11364,North Stradbroke,-27.345,153.562,2018-08-17 10:20:00
NSI20181023,11409,North Stradbroke,-27.345,153.562,2018-10-23 10:30:00
YON20181123,11542,Yongala,-19.30847,147.61842,2018-11-23 10:05:00
DAR20190214_0030,11731,Darwin,-12.4,130.76805,2019-02-14 10:00:00
ROT20190306,11889,Rottnest Island,-32,115.41667,2019-03-06 10:24:00
PHB20190408,11874,Port Hacking,-34.11923,151.22667,2019-04-09 08:50:00
ROT20190527,11926,Rottnest Island,-32,115.41667,2019-05-27 09:28:00
DAR20190723_0630,12319,Darwin,-12.4,130.76805,2019-07-23 16:00:00
NSI20191024,12448,North Stradbroke,-27.345,153.562,2019-10-24 10:20:00
PHB20200224,12852,Port Hacking,-34.11923,151.22667,2020-02-25 08:52:00
MAI20090907,1109,Maria Island,-42.59667,148.23333,2009-09-07 11:25:00
MAI20100527,1217,Maria Island,-42.59667,148.23333,2010-05-27 11:30:00
ESP20100322,1220,Esperance,-33.93333,121.85,2010-03-22 09:40:00
KAI20091115,1227,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00
NSI20100916,1244,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00
NSI20100817,1243,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00
MAI20090506,1096,Maria Island,-42.59667,148.23333,2009-05-06 11:20:00
KAI20100112,1222,Kangaroo Island,-35.83217,136.44733,2010-01-13 07:00:00
PHB20100702,1228,Port Hacking,-34.11923,151.22667,2010-07-02 11:35:00
YON20100413,1235,Yongala,-19.30847,147.61842,2010-04-13 14:14:00
NSI20100411,1239,North Stradbroke,-27.345,153.562,2010-04-12 08:35:00
MAI20090716,1107,Maria Island,-42.59667,148.23333,2009-07-16 11:36:00
NSI20101018,1245,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00
PHB20100413,1179,Port Hacking,-34.11923,151.22667,2010-04-14 09:18:00
